description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,39003,6619
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,44164,10118
ATHEROSCLEROSIS W/O MCC,303,21068,3238
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,24744,5506
BRONCHITIS & ASTHMA W CC/MCC,202,20419,4679
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,27600,5058
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,50356,6853
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14980,3317
CELLULITIS W/O MCC,603,26020,4663
CERVICAL SPINAL FUSION W/O CC/MCC,473,31327,11544
CHEST PAIN,313,21375,3340
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,28159,5696
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,36290,6508
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18615,4095
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,63499,11181
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,37308,6221
DIABETES W CC,638,19038,5380
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,35758,6414
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,23167,4104
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,31633,5658
G.I. HEMORRHAGE W CC,378,32472,5724
G.I. HEMORRHAGE W MCC,377,42613,9259
G.I. HEMORRHAGE W/O CC/MCC,379,23556,4024
G.I. OBSTRUCTION W CC,389,31212,5192
G.I. OBSTRUCTION W/O CC/MCC,390,20000,3539
HEART FAILURE & SHOCK W CC,292,28617,5760
HEART FAILURE & SHOCK W MCC,291,38418,8486
HEART FAILURE & SHOCK W/O CC/MCC,293,18963,4532
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,47058,10423
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,34373,8496
HYPERTENSION W/O MCC,305,20970,3409
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,32865,6429
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,64538,10257
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,29767,5128
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,37063,6688
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,22794,4311
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,50721,9443
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,34197,6498
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,92474,17771
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,33125,7033
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,50754,11405
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,71613,15006
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,142561,29735
MEDICAL BACK PROBLEMS W/O MCC,552,25185,4530
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,34377,8037
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,19868,3813
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,27124,5380
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,52268,9954
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,25632,5817
OTHER VASCULAR PROCEDURES W CC,253,57907,13169
OTHER VASCULAR PROCEDURES W MCC,252,65965,17561
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,53030,9097
