description,code,avgCoveredCharges,averagePayments
CHEST PAIN,313,14100,2946
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,20230,4941
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,24409,6228
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16826,3869
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14748,3889
HEART FAILURE & SHOCK W CC,292,19460,5228
HEART FAILURE & SHOCK W MCC,291,34314,7929
HEART FAILURE & SHOCK W/O CC/MCC,293,13876,3606
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,20995,5967
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,18040,4173
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,20506,3706
RED BLOOD CELL DISORDERS W/O MCC,812,14584,4152
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,43417,10372
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,30848,9245
SIMPLE PNEUMONIA & PLEURISY W CC,194,18175,5360
SIMPLE PNEUMONIA & PLEURISY W MCC,193,32216,7902
SYNCOPE & COLLAPSE,312,17448,3785
