description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,46395,6998
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,85968,10712
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,35277,5158
ATHEROSCLEROSIS W/O MCC,303,42126,8891
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,55430,5555
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,28424,5057
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,70390,9677
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,17752,3372
CELLULITIS W/O MCC,603,22359,4982
CERVICAL SPINAL FUSION W/O CC/MCC,473,80926,11909
CHEST PAIN,313,28751,4171
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,39041,6346
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,62338,7161
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,27777,4894
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,68941,13741
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,34276,6500
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,46617,5358
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,52725,7399
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,29468,4263
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,55219,5710
FRACTURES OF HIP & PELVIS W/O MCC,536,21991,3887
G.I. HEMORRHAGE W CC,378,38377,5850
G.I. HEMORRHAGE W MCC,377,106866,16043
G.I. HEMORRHAGE W/O CC/MCC,379,24266,4095
G.I. OBSTRUCTION W CC,389,41750,5264
G.I. OBSTRUCTION W/O CC/MCC,390,16594,3627
HEART FAILURE & SHOCK W CC,292,33735,5878
HEART FAILURE & SHOCK W MCC,291,71868,8838
HEART FAILURE & SHOCK W/O CC/MCC,293,23346,4041
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,88570,10738
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,59124,8753
HYPERTENSION W/O MCC,305,24602,3509
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,57980,7865
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,77820,11157
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,36252,5091
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,54030,7715
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,31194,5005
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,97550,10382
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,119628,17868
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,38772,7373
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,141899,18932
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,89408,11943
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,118474,16323
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,338453,41469
MEDICAL BACK PROBLEMS W/O MCC,552,32485,4613
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,74281,9162
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,35500,4301
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,38190,5533
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,97223,14520
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,31566,5611
OTHER VASCULAR PROCEDURES W CC,253,104506,13946
OTHER VASCULAR PROCEDURES W MCC,252,153781,19338
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,73430,9250
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,81523,11314
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,72954,10028
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,91113,11298
PERIPHERAL VASCULAR DISORDERS W CC,300,40852,6849
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,20129,3797
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,107810,15248
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,92639,11691
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,32579,3745
PSYCHOSES,885,35242,6163
PULMONARY EDEMA & RESPIRATORY FAILURE,189,102729,8852
PULMONARY EMBOLISM W/O MCC,176,51037,7203
RED BLOOD CELL DISORDERS W MCC,811,73708,7595
RED BLOOD CELL DISORDERS W/O MCC,812,22412,4792
RENAL FAILURE W CC,683,41306,5823
RENAL FAILURE W MCC,682,74009,10103
RENAL FAILURE W/O CC/MCC,684,19386,3956
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,103398,10446
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,114612,12645
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,233131,30966
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,94900,13545
SEIZURES W/O MCC,101,43000,4421
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,103564,13151
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,45838,8099
SIGNS & SYMPTOMS W/O MCC,948,27576,4019
SIMPLE PNEUMONIA & PLEURISY W CC,194,41697,5808
SIMPLE PNEUMONIA & PLEURISY W MCC,193,73456,8900
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,27817,4054
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,112661,20792
SYNCOPE & COLLAPSE,312,27794,4169
TRANSIENT ISCHEMIA,069,36930,4411
