description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,21841,9985
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,5329,3481
ATHEROSCLEROSIS W/O MCC,303,8157,3202
BRONCHITIS & ASTHMA W CC/MCC,202,7507,4627
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,7852,4673
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,8905,6574
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,6434,3306
CELLULITIS W/O MCC,603,5736,4588
CHEST PAIN,313,8701,3260
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,8814,5355
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,9005,6474
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,5515,4192
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,20755,10969
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,14762,5870
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,8570,4581
DIABETES W CC,638,6116,4524
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,11955,6407
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,8336,3962
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,9235,5677
G.I. HEMORRHAGE W CC,378,9785,5525
G.I. HEMORRHAGE W MCC,377,13714,9282
G.I. OBSTRUCTION W CC,389,9842,5034
G.I. OBSTRUCTION W/O CC/MCC,390,7180,3495
HEART FAILURE & SHOCK W CC,292,8761,5744
HEART FAILURE & SHOCK W MCC,291,13429,8333
HEART FAILURE & SHOCK W/O CC/MCC,293,7039,3846
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,19027,10002
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,22373,15737
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,37014,28683
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,9198,6292
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,13147,9477
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,8871,6516
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,6863,4267
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,18504,10183
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,9973,6521
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,23916,17372
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,21006,11601
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,20284,14195
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,38677,28417
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,6897,6123
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,6016,3940
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,17230,9879
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,10187,5395
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,10006,8390
OTHER VASCULAR PROCEDURES W CC,253,15714,12487
PERIPHERAL VASCULAR DISORDERS W CC,300,8136,5437
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,12801,8053
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,5996,3790
PSYCHOSES,885,9931,4987
PULMONARY EDEMA & RESPIRATORY FAILURE,189,9046,7297
RED BLOOD CELL DISORDERS W MCC,811,10419,6887
RED BLOOD CELL DISORDERS W/O MCC,812,7156,4320
RENAL FAILURE W CC,683,7689,5501
RENAL FAILURE W MCC,682,14880,9282
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,10021,7830
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,13252,11211
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,42916,27906
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,16137,11396
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,14824,10222
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,7391,6091
SIMPLE PNEUMONIA & PLEURISY W CC,194,8626,5610
SIMPLE PNEUMONIA & PLEURISY W MCC,193,11823,8192
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,4788,3888
SYNCOPE & COLLAPSE,312,8581,4071
TRANSIENT ISCHEMIA,069,6105,4079
