city,avgCoveredCharges,averagePayments
ALABASTER,28617,5760
ALEXANDER CITY,9107,5687
ANDALUSIA,16061,5446
ANNISTON,21575,5501
ASHLAND,9807,5377
ATHENS,11788,5878
ATMORE,19460,5228
BAY MINETTE,11943,6107
BESSEMER,19450,5582
BIRMINGHAM,28127,6180
BOAZ,14110,5825
BREWTON,7736,5079
CARROLLTON,11834,8330
CENTRE,16876,6772
CULLMAN,17605,5464
DADEVILLE,4847,5937
DECATUR,20412,6983
DEMOPOLIS,8390,5028
DOTHAN,27017,5821
ENTERPRISE,28431,5214
EUFAULA,10294,5578
EVERGREEN,6970,5547
FAIRHOPE,16246,5089
FAYETTE,16446,5687
FLORALA,7646,5966
FLORENCE,21302,5401
FOLEY,41403,5459
FORT PAYNE,23188,5387
GADSDEN,45604,5519
GENEVA,9399,5908
GEORGIANA,5313,5795
GREENVILLE,33406,6188
GROVE HILL,7697,4564
GUNTERSVILLE,11338,5196
HALEYVILLE,12051,5616
HARTSELLE,44266,5537
HUNTSVILLE,28037,5998
JASPER,25203,5828
MOBILE,18182,5374
MONROEVILLE,12364,5205
MONTGOMERY,20904,6386
MOULTON,10842,6035
MUSCLE SHOALS,24240,5326
ONEONTA,15376,6165
OPELIKA,10777,5925
OPP,8746,5234
OZARK,8603,5942
PELL CITY,13741,6761
PRATTVILLE,19486,5013
RUSSELLVILLE,14482,5449
SCOTTSBORO,11727,5698
SELMA,18918,6793
SHEFFIELD,15486,5647
SYLACAUGA,23959,5743
TALLADEGA,14870,6352
TALLASSEE,9031,6109
THOMASVILLE,6745,5934
TROY,13146,5953
TUSCALOOSA,19580,6238
VALLEY,8284,6030
WINFIELD,15873,5023
