city,avgCoveredCharges,averagePayments
ALABASTER,39390,7463
ALEXANDER CITY,12200,6825
ANDALUSIA,17724,5524
ANNISTON,31212,7043
ASHLAND,9828,5185
ATHENS,14402,6435
ATMORE,22416,5675
BAY MINETTE,12569,6226
BESSEMER,27739,7501
BIRMINGHAM,44664,8820
BOAZ,16451,6902
BREWTON,7883,4091
CAMDEN,4617,4852
CARROLLTON,13633,8681
CENTRE,15478,5562
CENTREVILLE,7683,4956
CLANTON,11747,7973
CULLMAN,25805,7371
DADEVILLE,5167,5535
DECATUR,19072,7207
DEMOPOLIS,7824,4221
DOTHAN,36893,8007
ELBA,6038,4900
ENTERPRISE,28118,5001
EUFAULA,11125,5075
EUTAW,4701,5422
EVERGREEN,7765,4949
FAIRHOPE,26610,7257
FAYETTE,18435,6126
FLORALA,7241,4410
FLORENCE,33464,7538
FOLEY,40466,5726
FORT PAYNE,30409,5738
GADSDEN,67636,7519
GENEVA,8096,5577
GEORGIANA,5429,4744
GREENSBORO,6063,5176
GREENVILLE,33741,5896
GROVE HILL,7260,3966
GUNTERSVILLE,15235,5963
HALEYVILLE,12699,5518
HAMILTON,15376,5029
HARTSELLE,32700,4898
HUNTSVILLE,42665,9244
JACKSON,5066,4228
JACKSONVILLE,17156,4343
JASPER,28633,7136
LUVERNE,15235,5765
MOBILE,24601,7632
MONROEVILLE,11211,4844
MONTGOMERY,28901,8388
MOULTON,16095,7206
MUSCLE SHOALS,25816,5784
NORTHPORT,32571,10007
ONEONTA,16500,6180
OPELIKA,15359,8136
OPP,10857,4405
OZARK,12994,7076
PELL CITY,16195,5769
PHENIX CITY,35928,12129
PRATTVILLE,19928,4841
RUSSELLVILLE,19089,5952
SCOTTSBORO,11910,5342
SELMA,28701,8071
SHEFFIELD,15871,6393
SYLACAUGA,24814,5999
TALLADEGA,19507,6454
TALLASSEE,9749,6418
THOMASVILLE,5907,4752
TROY,20177,6915
TUSCALOOSA,30525,8310
UNION SPRINGS,11376,4004
VALLEY,11424,6676
WEDOWEE,14506,5187
WETUMPKA,3714,4505
WINFIELD,19233,5339
YORK,5120,4342
