description,code,avgCoveredCharges,averagePayments
BRONCHITIS & ASTHMA W/O CC/MCC,203,15701,3173
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,21345,4254
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15780,2963
CELLULITIS W/O MCC,603,22046,4329
CHEST PAIN,313,18101,2869
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25873,5052
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,39834,6368
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,19224,3773
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,21598,4635
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,22184,3931
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,17724,3377
G.I. HEMORRHAGE W CC,378,32659,5487
G.I. HEMORRHAGE W/O CC/MCC,379,18262,3728
G.I. OBSTRUCTION W CC,389,32468,4857
HEART FAILURE & SHOCK W CC,292,28431,5214
HEART FAILURE & SHOCK W/O CC/MCC,293,19070,3537
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,60295,9676
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,31097,6087
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,24751,4277
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,23987,4247
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,63106,10277
MEDICAL BACK PROBLEMS W/O MCC,552,18480,4107
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,18214,3577
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,19155,3299
RED BLOOD CELL DISORDERS W/O MCC,812,15490,4166
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,43282,8912
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,51810,9238
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,33527,5896
SIGNS & SYMPTOMS W/O MCC,948,18962,3475
SIMPLE PNEUMONIA & PLEURISY W CC,194,33493,5274
SIMPLE PNEUMONIA & PLEURISY W MCC,193,43546,7720
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23773,3699
SYNCOPE & COLLAPSE,312,18361,3638
TRANSIENT ISCHEMIA,069,22034,3758
