description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,30721,6359
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,49636,9372
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,22594,4304
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,10866,3290
BRONCHITIS & ASTHMA W CC/MCC,202,16750,4498
BRONCHITIS & ASTHMA W/O CC/MCC,203,18616,4023
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16674,4465
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,31554,6586
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10547,3047
CELLULITIS W MCC,602,36262,7799
CELLULITIS W/O MCC,603,17293,4460
CERVICAL SPINAL FUSION W/O CC/MCC,473,36936,10208
CHEST PAIN,313,20242,3850
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,23477,5343
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,31315,6468
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18649,5097
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,45170,10820
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,26790,5854
DIABETES W CC,638,17022,4435
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,25452,5554
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,41170,6991
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18220,3850
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,37560,5435
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,15115,3821
G.I. HEMORRHAGE W CC,378,21184,5459
G.I. HEMORRHAGE W MCC,377,51199,10190
G.I. HEMORRHAGE W/O CC/MCC,379,17413,4128
G.I. OBSTRUCTION W CC,389,25450,4987
G.I. OBSTRUCTION W/O CC/MCC,390,17520,3399
HEART FAILURE & SHOCK W CC,292,21302,5401
HEART FAILURE & SHOCK W MCC,291,32650,7943
