description,code,avgCoveredCharges,averagePayments
BRONCHITIS & ASTHMA W/O CC/MCC,203,5207,3441
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11025,4818
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8714,3109
CELLULITIS W/O MCC,603,8729,4745
CHEST PAIN,313,10512,3111
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,12683,5729
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15112,6560
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,10724,4079
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,7360,4059
G.I. HEMORRHAGE W CC,378,14150,5370
G.I. HEMORRHAGE W/O CC/MCC,379,11451,3991
HEART FAILURE & SHOCK W CC,292,12364,5205
HEART FAILURE & SHOCK W/O CC/MCC,293,9543,3825
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,11343,4454
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9780,4270
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,7377,3704
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,22493,8341
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,17703,9508
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,12145,5870
SIMPLE PNEUMONIA & PLEURISY W CC,194,13511,5614
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10437,4178
