city,avgCoveredCharges,averagePayments
BATESVILLE,26888,8214
BENTON,17899,6460
BLYTHEVILLE,14546,6287
CAMDEN,13810,6294
CLARKSVILLE,8793,5991
CONWAY,20930,7724
DANVILLE,5317,5715
EL DORADO,34045,7482
FAYETTEVILLE,30927,8304
FORREST CITY,15488,4733
FORT SMITH,24917,7789
HARRISON,17547,6351
HELENA,25978,6570
HOPE,16981,6485
HOT SPRINGS,40312,8594
JACKSONVILLE,13631,5540
JONESBORO,17700,8699
LITTLE ROCK,28415,8845
MAGNOLIA,10446,5998
MALVERN,13091,5356
MENA,11933,6140
MONTICELLO,7165,4849
MOUNTAIN HOME,16479,6764
NEWPORT,30455,5206
NO LITTLE ROCK,27461,10325
NORTH LITTLE RO,22373,7487
PARAGOULD,15142,6516
PINE BLUFF,32784,8527
POCAHONTAS,8580,5511
ROGERS,22966,7817
RUSSELLVILLE,28947,6771
SEARCY,20080,7010
SHERWOOD,20688,6163
SILOAM SPRINGS,18338,5677
SPRINGDALE,39644,7535
STUTTGART,10479,6318
VAN BUREN,26374,5223
WEST MEMPHIS,21474,7228
