description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,23208,7085
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,46837,10226
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,17735,5628
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19599,4815
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,23140,7139
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,12918,3243
CELLULITIS W/O MCC,603,17345,4622
CERVICAL SPINAL FUSION W/O CC/MCC,473,32677,11924
CHEST PAIN,313,16784,3119
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22407,5413
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,23161,6729
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,12861,4035
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,26916,6197
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,15860,4863
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,16201,5214
DIABETES W CC,638,20363,4768
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,25521,5710
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,34530,6797
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18122,4102
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,19271,5806
FRACTURES OF HIP & PELVIS W/O MCC,536,12000,4011
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,14696,3960
G.I. HEMORRHAGE W CC,378,29478,5850
G.I. HEMORRHAGE W MCC,377,47404,9864
G.I. HEMORRHAGE W/O CC/MCC,379,16530,4071
G.I. OBSTRUCTION W CC,389,21793,5264
G.I. OBSTRUCTION W/O CC/MCC,390,15826,3599
HEART FAILURE & SHOCK W CC,292,21361,5729
HEART FAILURE & SHOCK W MCC,291,35347,8439
HEART FAILURE & SHOCK W/O CC/MCC,293,14702,3925
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,35782,10557
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,46242,16601
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,25520,8577
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,97342,29595
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,20042,6409
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,38436,10566
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,17229,4600
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,28994,6974
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13731,4277
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,32844,9646
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,25533,6273
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,53283,17469
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,37571,7405
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,65426,19425
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,31683,11974
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,51936,14655
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,107627,29714
MEDICAL BACK PROBLEMS W/O MCC,552,16476,4541
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,18540,6301
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,15188,3901
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,15461,5453
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,36428,10289
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,21697,5806
OTHER VASCULAR PROCEDURES W MCC,252,53709,16885
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,48896,9281
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,75607,18059
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,52691,11286
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,43722,10201
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,39933,10234
PERIPHERAL VASCULAR DISORDERS W CC,300,27007,5284
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,16984,3740
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,49551,15025
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,37075,11562
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,34919,8826
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10329,3542
PULMONARY EDEMA & RESPIRATORY FAILURE,189,34257,7363
PULMONARY EMBOLISM W/O MCC,176,22951,5931
RED BLOOD CELL DISORDERS W/O MCC,812,22238,4516
RENAL FAILURE W CC,683,24856,5848
RENAL FAILURE W MCC,682,39674,9715
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,26025,7916
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,53528,11779
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,92016,29339
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,45662,13500
SEIZURES W/O MCC,101,15817,4149
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,116261,31930
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,37536,10732
