city,avgCoveredCharges,averagePayments
BULLHEAD CITY,69004,8741
CASA GRANDE,34109,8244
CHANDLER,45746,7702
COTTONWOOD,43349,10445
FLAGSTAFF,49415,13786
FORT MOHAVE,31364,7501
GILBERT,38800,7706
GLENDALE,29041,7977
GOODYEAR,24578,8443
KINGMAN,26081,7476
LAKE HAVASU CIT,42968,7843
MESA,28643,7943
ORO VALLEY,29624,6473
PAYSON,45249,8510
PHOENIX,31176,9353
PRESCOTT,24647,8215
PRESCOTT VALLEY,18675,8057
SCOTTSDALE,34950,7500
SHOW LOW,23976,9822
SIERRA VISTA,25886,9850
SUN CITY,35695,6972
SUN CITY WEST,39192,7116
TUCSON,29885,8480
YUMA,27349,8287
