city,avgCoveredCharges,averagePayments
BULLHEAD CITY,72748,8470
CASA GRANDE,27501,8230
CHANDLER,54143,10103
CHINLE,6233,6037
COTTONWOOD,56011,13727
FLAGSTAFF,53713,19901
FORT DEFIANCE,8000,7116
FORT MOHAVE,35226,7060
GILBERT,46486,8935
GLENDALE,34962,9212
GOODYEAR,29204,8376
KINGMAN,32169,8980
LAKE HAVASU CIT,40236,9017
MESA,37872,8816
ORO VALLEY,36413,7510
PARKER,18897,9817
PAYSON,53920,9507
PHOENIX,42146,11481
PRESCOTT,32662,9718
PRESCOTT VALLEY,25107,8730
SAFFORD,24773,11363
SCOTTSDALE,42712,9737
SHOW LOW,31993,12551
SIERRA VISTA,25545,9128
SUN CITY,39336,7731
SUN CITY WEST,37267,7459
TUBA CITY,12872,9055
TUCSON,36363,9985
WHITERIVER,8657,7507
YUMA,32660,9459
