description,code,avgCoveredCharges,averagePayments
BRONCHITIS & ASTHMA W CC/MCC,202,28691,6734
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,24742,5262
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,34793,7716
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,19534,3578
CELLULITIS W MCC,602,50344,8739
CELLULITIS W/O MCC,603,21641,5399
CHEST PAIN,313,16922,3584
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,31069,6308
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,27835,7779
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,23273,5633
DIABETES W CC,638,21267,6033
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,25183,6396
DYSEQUILIBRIUM,149,25432,4011
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,36201,7238
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,24978,4695
FRACTURES OF HIP & PELVIS W/O MCC,536,19508,4356
G.I. HEMORRHAGE W CC,378,28606,6611
G.I. OBSTRUCTION W/O CC/MCC,390,18260,4724
HEART FAILURE & SHOCK W CC,292,27924,6417
HEART FAILURE & SHOCK W MCC,291,34455,9032
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,55311,11414
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,86359,18615
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,128780,33837
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,33412,7834
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,30237,7360
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,22933,5043
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,34330,7339
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,87822,19116
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,52917,13125
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,67387,15401
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,172346,38236
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,26985,7002
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,21888,4359
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,49112,12114
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,27493,6610
PULMONARY EDEMA & RESPIRATORY FAILURE,189,32589,8191
RED BLOOD CELL DISORDERS W/O MCC,812,20464,4976
RENAL FAILURE W CC,683,26054,6195
RENAL FAILURE W MCC,682,33339,10074
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,38204,9034
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,36072,11934
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,60224,14152
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,50113,11951
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,29502,7461
SIGNS & SYMPTOMS W/O MCC,948,19663,4122
SIMPLE PNEUMONIA & PLEURISY W CC,194,28515,6686
SIMPLE PNEUMONIA & PLEURISY W MCC,193,35494,9534
SYNCOPE & COLLAPSE,312,28516,4583
TRANSIENT ISCHEMIA,069,29496,4585
