description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,39443,8206
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,47296,12368
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,18079,4417
ATHEROSCLEROSIS W/O MCC,303,20767,3956
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,34193,7451
BRONCHITIS & ASTHMA W CC/MCC,202,27231,5843
BRONCHITIS & ASTHMA W/O CC/MCC,203,15841,4403
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,25562,5762
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,31254,8254
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,16598,3928
CELLULITIS W MCC,602,28768,9454
CELLULITIS W/O MCC,603,19212,5787
CHEST PAIN,313,18944,3923
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25780,6637
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,32155,8136
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,19598,5174
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,53360,14317
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,41088,8143
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,20283,6229
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,27150,6821
DIABETES W CC,638,23752,5549
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,28316,6641
DYSEQUILIBRIUM,149,22595,4479
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,36307,8099
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,23604,5140
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,26776,6907
FRACTURES OF HIP & PELVIS W/O MCC,536,21853,4858
G.I. HEMORRHAGE W CC,378,25852,6959
G.I. HEMORRHAGE W MCC,377,43217,11899
G.I. HEMORRHAGE W/O CC/MCC,379,16882,5145
G.I. OBSTRUCTION W CC,389,31569,6535
HEART FAILURE & SHOCK W CC,292,26590,6836
HEART FAILURE & SHOCK W MCC,291,41651,10249
HEART FAILURE & SHOCK W/O CC/MCC,293,17544,4950
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,53714,12470
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,47270,10318
HYPERTENSION W/O MCC,305,20518,4614
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,117927,38760
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,32543,7693
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,38252,11998
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,26360,5454
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,26534,8219
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21280,5489
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,50453,13331
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,86279,21712
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,42509,8579
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,41751,15336
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,72695,19315
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,135105,37446
MEDICAL BACK PROBLEMS W/O MCC,552,22252,5562
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,30740,7752
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,22834,4800
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,24720,6961
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,55427,13065
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,23996,6908
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,25985,7296
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,42791,11010
OTHER VASCULAR PROCEDURES W CC,253,65462,16874
OTHER VASCULAR PROCEDURES W MCC,252,63759,20232
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,45290,11338
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,72131,23322
