description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,10592,8508
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,20670,7287
HEART FAILURE & SHOCK W CC,292,25822,10058
HEART FAILURE & SHOCK W/O CC/MCC,293,13305,6796
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,34540,18955
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,30495,15336
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14429,7868
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,50945,21180
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13466,6870
PULMONARY EMBOLISM W/O MCC,176,21829,10778
SIMPLE PNEUMONIA & PLEURISY W CC,194,20780,10067
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,16612,7238
