description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,23706,8204
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,34067,12076
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,24820,5549
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,17662,4447
ATHEROSCLEROSIS W/O MCC,303,14352,4003
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,20712,6901
BRONCHITIS & ASTHMA W CC/MCC,202,24562,5873
BRONCHITIS & ASTHMA W/O CC/MCC,203,14243,4184
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16875,5749
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,25359,8627
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,13645,4106
CELLULITIS W MCC,602,21115,9279
CELLULITIS W/O MCC,603,15683,5830
CERVICAL SPINAL FUSION W/O CC/MCC,473,37997,14107
CHEST PAIN,313,17285,3797
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22844,6594
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,25439,8065
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,15957,4958
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,43658,13699
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,29010,7451
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,21194,5942
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,27065,6697
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,33806,7038
DYSEQUILIBRIUM,149,16239,4453
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,27110,7983
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,21315,5317
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,24475,6800
FRACTURES OF HIP & PELVIS W/O MCC,536,12773,4644
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,15322,4796
G.I. HEMORRHAGE W CC,378,19554,7026
G.I. HEMORRHAGE W MCC,377,39396,11438
G.I. HEMORRHAGE W/O CC/MCC,379,17371,4906
G.I. OBSTRUCTION W CC,389,19863,6486
G.I. OBSTRUCTION W/O CC/MCC,390,15728,4360
HEART FAILURE & SHOCK W CC,292,19696,6864
HEART FAILURE & SHOCK W MCC,291,27629,10167
HEART FAILURE & SHOCK W/O CC/MCC,293,15060,4824
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,34048,12638
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,56589,19082
HYPERTENSION W/O MCC,305,14757,4221
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,112543,38477
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,24040,7761
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,37288,12014
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,20524,5647
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,32330,8685
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,17000,5271
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,40455,11607
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,28042,8008
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,67736,21054
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,24076,8785
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,82478,25326
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,30259,13661
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,61837,18066
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,113308,35999
MEDICAL BACK PROBLEMS W/O MCC,552,17944,5391
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,19704,7867
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,16507,4710
