description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,22399,5864
CHEST PAIN,313,15769,4126
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,31316,8263
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17650,5054
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19060,7277
G.I. HEMORRHAGE W CC,378,21376,7119
HEART FAILURE & SHOCK W CC,292,24864,6954
HEART FAILURE & SHOCK W MCC,291,25861,9747
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,26032,5505
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13471,4841
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,22483,4369
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,39091,13755
SIMPLE PNEUMONIA & PLEURISY W CC,194,23427,7020
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,15154,4950
