description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,33777,5646
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,24543,3843
CELLULITIS W/O MCC,603,22541,5541
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,36585,7823
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,39152,5269
G.I. HEMORRHAGE W CC,378,34962,6888
G.I. OBSTRUCTION W CC,389,26021,6288
G.I. OBSTRUCTION W/O CC/MCC,390,17833,4216
HEART FAILURE & SHOCK W CC,292,42577,6846
HEART FAILURE & SHOCK W MCC,291,48187,9680
HEART FAILURE & SHOCK W/O CC/MCC,293,23589,4613
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,98363,12738
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,35435,7330
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,37671,5517
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,29689,5254
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,44007,7875
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,77876,12802
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,87500,17243
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,22193,4543
PULMONARY EDEMA & RESPIRATORY FAILURE,189,46840,9008
RED BLOOD CELL DISORDERS W/O MCC,812,24403,5357
RENAL FAILURE W CC,683,27255,6991
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,58873,12905
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,43084,7473
SIMPLE PNEUMONIA & PLEURISY W CC,194,32882,6800
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23258,4777
