description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,42291,9157
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,96606,14400
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,50243,7605
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,34071,6445
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,40252,9473
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,28799,4381
CELLULITIS W MCC,602,54484,11353
CELLULITIS W/O MCC,603,29645,6492
CERVICAL SPINAL FUSION W/O CC/MCC,473,72043,15816
CHEST PAIN,313,24944,4389
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,44705,7638
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,62212,9711
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,34442,5889
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,74956,15363
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,46418,9184
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,35094,6619
DIABETES W CC,638,43484,6365
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,37576,7745
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,42954,8986
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,35076,6112
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,53335,8012
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,27374,5339
G.I. HEMORRHAGE W CC,378,48243,7936
G.I. HEMORRHAGE W MCC,377,57917,13021
G.I. HEMORRHAGE W/O CC/MCC,379,35707,5703
G.I. OBSTRUCTION W CC,389,41219,7140
G.I. OBSTRUCTION W/O CC/MCC,390,23188,4886
HEART FAILURE & SHOCK W CC,292,45699,7884
HEART FAILURE & SHOCK W MCC,291,75163,12848
HEART FAILURE & SHOCK W/O CC/MCC,293,28040,5180
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,79147,14391
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,195867,40561
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,55820,8757
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,85285,14595
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,41933,6571
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,43675,9196
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,37674,6041
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,62589,13104
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,43753,9570
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,131114,23786
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,78468,16553
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,72278,19520
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,215254,42760
MEDICAL BACK PROBLEMS W/O MCC,552,28664,6320
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,43783,8856
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,29799,5778
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,78626,16130
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,49645,7640
OTHER VASCULAR PROCEDURES W CC,253,128392,19882
OTHER VASCULAR PROCEDURES W MCC,252,125257,24326
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,91640,12167
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,149787,27976
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,88104,15108
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,96088,13614
PERIPHERAL VASCULAR DISORDERS W CC,300,40033,7477
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,91880,16144
RED BLOOD CELL DISORDERS W MCC,811,75477,11455
RED BLOOD CELL DISORDERS W/O MCC,812,34986,6331
RENAL FAILURE W CC,683,41892,8849
RENAL FAILURE W MCC,682,58676,12225
RENAL FAILURE W/O CC/MCC,684,31092,5818
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,54953,11316
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,108087,15948
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,223979,38295
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,124323,17917
SEIZURES W/O MCC,101,35654,5866
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,267744,52909
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,95606,15495
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,51857,8832
SIGNS & SYMPTOMS W/O MCC,948,31924,5194
SIMPLE PNEUMONIA & PLEURISY W CC,194,47566,7776
SIMPLE PNEUMONIA & PLEURISY W MCC,193,77562,11782
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,34989,5834
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,131314,28714
SYNCOPE & COLLAPSE,312,34446,5525
TRANSIENT ISCHEMIA,069,32857,5646
