description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,25967,7872
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,39416,9170
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,50801,11238
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,23582,6715
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,26541,6829
G.I. HEMORRHAGE W CC,378,29518,9615
HEART FAILURE & SHOCK W MCC,291,55919,14116
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,29966,7444
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,24364,6639
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,39418,9548
PSYCHOSES,885,22590,8609
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,66227,18004
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,44294,10686
SIMPLE PNEUMONIA & PLEURISY W CC,194,47275,9600
