description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,41377,8314
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,50442,12557
CELLULITIS W/O MCC,603,25225,7083
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,32006,6698
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,36005,8367
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,24601,5567
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,23738,5160
G.I. HEMORRHAGE W CC,378,25993,7190
G.I. HEMORRHAGE W MCC,377,32606,12356
G.I. HEMORRHAGE W/O CC/MCC,379,25913,5029
G.I. OBSTRUCTION W/O CC/MCC,390,22547,5593
HEART FAILURE & SHOCK W CC,292,34908,7250
HEART FAILURE & SHOCK W MCC,291,35911,10095
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,52116,12872
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,45399,10708
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,149140,43834
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,36215,7924
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,24474,6163
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,27992,8395
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,20239,5508
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,34742,9018
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,59860,15182
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,58911,18059
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,126431,34905
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17939,5092
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,87409,33414
PULMONARY EDEMA & RESPIRATORY FAILURE,189,47348,9691
RENAL FAILURE W CC,683,43586,7871
RENAL FAILURE W MCC,682,42293,10927
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,31982,10126
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,45369,16430
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,59481,13246
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,36920,8128
SIGNS & SYMPTOMS W/O MCC,948,21903,4836
SIMPLE PNEUMONIA & PLEURISY W CC,194,29184,7046
SIMPLE PNEUMONIA & PLEURISY W MCC,193,46842,10258
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23318,5053
