description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,84317,8869
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,135976,15594
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,19917,4986
BRONCHITIS & ASTHMA W CC/MCC,202,38781,6468
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,44610,6439
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,46894,9474
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,34414,4383
CELLULITIS W/O MCC,603,36843,6551
CHEST PAIN,313,32136,4222
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,46313,7720
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,65895,9115
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,36031,5473
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,68855,8353
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,36152,6970
DIABETES W CC,638,48936,6337
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,56089,7746
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,40175,8868
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,35273,5507
G.I. HEMORRHAGE W CC,378,59509,7839
G.I. HEMORRHAGE W MCC,377,72862,12225
G.I. HEMORRHAGE W/O CC/MCC,379,34481,5413
HEART FAILURE & SHOCK W CC,292,55809,7814
HEART FAILURE & SHOCK W MCC,291,63324,11568
HEART FAILURE & SHOCK W/O CC/MCC,293,34245,5262
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,236455,41905
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,56011,8958
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,87850,13151
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,40710,6220
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,43069,8595
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,39448,5929
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,105679,15996
MEDICAL BACK PROBLEMS W/O MCC,552,31237,6276
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,54859,8693
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,28558,5265
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,75135,13357
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,39350,7381
OTHER VASCULAR PROCEDURES W CC,253,165144,20349
OTHER VASCULAR PROCEDURES W MCC,252,137193,24476
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,148803,20353
PSYCHOSES,885,24960,6942
RED BLOOD CELL DISORDERS W/O MCC,812,37379,6109
RENAL FAILURE W CC,683,53031,8159
RENAL FAILURE W MCC,682,54523,12162
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,92130,10873
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,133659,18302
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,258363,31891
SEIZURES W/O MCC,101,39891,5850
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,384256,50819
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,95858,14687
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,62475,8723
SIGNS & SYMPTOMS W/O MCC,948,27754,5271
SIMPLE PNEUMONIA & PLEURISY W CC,194,61043,7671
SIMPLE PNEUMONIA & PLEURISY W MCC,193,97335,11057
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,41844,5448
SYNCOPE & COLLAPSE,312,31336,5507
TRANSIENT ISCHEMIA,069,33797,5812
