city,avgCoveredCharges,averagePayments
ALAMEDA,42410,10660
ALHAMBRA,70928,14884
ANAHEIM,58314,10660
ANTIOCH,56421,11478
APPLE VALLEY,49163,10228
ARCADIA,58750,11593
ARCATA,22862,6796
ARROYO GRANDE,48910,8949
AUBURN,42754,9665
BAKERSFIELD,55251,10701
BALDWIN PARK,17342,7971
BANNING,35486,10266
BARSTOW,53948,9562
BELLFLOWER,30403,9275
BERKELEY,74993,15086
BIG BEAR LAKE,13688,8705
BLYTHE,29160,10343
BRAWLEY,36039,10067
BURBANK,103670,12070
BURLINGAME,57211,11243
CAMARILLO,56783,8167
CARMICHAEL,62995,12773
CASTRO VALLEY,57580,12187
CHICO,56383,10082
CHINO,26726,10421
CHULA VISTA,69301,10628
CLOVIS,39928,10182
COALINGA,10487,9347
COLTON,28770,11566
COLUSA,22839,8868
CONCORD,110990,13287
CORONA,40284,9610
CORONADO,50539,10372
COSTA MESA,24278,8407
COVINA,38193,12392
CRESCENT CITY,36581,11737
CULVER CITY,58706,9291
DALY CITY,126405,16991
DAVIS,45719,10679
DELANO,33412,12034
DOWNEY,66053,10723
EL CENTRO,40803,9750
ELDRIDGE,14572,7156
ENCINITAS,58665,11225
ENCINO,52863,9514
ESCONDIDO,48621,10419
EUREKA,61534,13746
FAIRFIELD,128504,14971
FALLBROOK,49753,9187
FOLSOM,54050,10076
FONTANA,22477,9681
FOUNTAIN VALLEY,66984,11930
FREMONT,123035,14721
FRENCH CAMP,50278,15501
FRESNO,43577,12045
FULLERTON,63443,10591
GARDEN GROVE,62718,16737
GARDENA,47598,14646
GILROY,82447,12574
GLENDALE,71879,13395
GLENDORA,38102,9499
GRASS VALLEY,41508,9079
GREENBRAE,89602,13083
HANFORD,34832,9417
HARBOR CITY,23432,8258
HAWAIIAN GARDEN,47368,11485
HAYWARD,90864,14970
HEMET,33931,9414
HOLLISTER,35980,9778
HOLLYWOOD,23827,11092
HUNTINGTON BEAC,46732,11377
HUNTINGTON PARK,40054,10138
INDIO,80248,13137
INGLEWOOD,73476,12744
IRVINE,52491,13451
JACKSON,39189,10304
JOSHUA TREE,30644,9884
KING CITY,41280,13653
LA JOLLA,75568,12558
LA MESA,56226,10395
LA PALMA,42772,11623
LAGUNA HILLS,47992,8735
LAKEWOOD,64306,9063
LANCASTER,38374,11634
LODI,103065,9704
LOMA LINDA,67233,17964
LOMPOC,17493,10091
LONG BEACH,52281,11871
LOS ALAMITOS,78182,8683
LOS ANGELES,79978,14704
LOS BANOS,52812,25182
LYNWOOD,51396,15360
MADERA,25594,9889
MANTECA,80821,6817
MARINA DEL REY,66332,10083
MARTINEZ,33066,18375
MARYSVILLE,50674,10849
MERCED,60045,13104
MISSION HILLS,109991,12626
MISSION VIEJO,57220,9204
MODESTO,92871,11834
MONTCLAIR,32962,12903
MONTEBELLO,25489,11467
MONTEREY,62871,13592
MONTEREY PARK,112503,15188
MORENO VALLEY,37763,9708
MOUNTAIN VIEW,85636,13058
MURRIETA,30581,8623
NAPA,72531,12173
NATIONAL CITY,36097,10081
NEWPORT BEACH,44367,10643
NORTHRIDGE,76047,12003
NORWALK,31908,10004
NOVATO,69129,12773
OAKDALE,40189,8431
OAKLAND,69634,14550
OCEANSIDE,44908,10298
OJAI,39193,10138
ORANGE,73006,14127
OROVILLE,37217,8818
OXNARD,61436,10983
PALM SPRINGS,81328,10417
PALMDALE,55627,9688
PANORAMA CITY,20997,11165
PARADISE,89804,9458
PASADENA,63278,11386
PETALUMA,66470,10643
PLACENTIA,46063,7442
PLACERVILLE,80818,11142
PLEASANTON,92076,13185
POMONA,94031,15523
PORTERVILLE,43427,10469
POWAY,48381,9939
RANCHO MIRAGE,78925,9236
RED BLUFF,41893,9877
REDDING,61101,12406
REDLANDS,52216,10272
REDWOOD CITY,101141,12377
REEDLEY,21780,5296
RIDGECREST,28486,8844
RIVERSIDE,78455,14306
ROSEVILLE,50705,10580
SACRAMENTO,80627,15783
SAINT HELENA,88519,16100
SALINAS,59278,15029
SAN BERNARDINO,62526,13487
SAN DIEGO,55084,12998
SAN DIMAS,59629,10128
SAN FRANCISCO,77646,17289
SAN GABRIEL,100164,14055
SAN JOSE,97757,15949
SAN LEANDRO,53078,11171
SAN LUIS OBISPO,72871,10220
SAN PABLO,72757,12670
SAN PEDRO,75841,11282
SAN RAFAEL,27956,11596
SAN RAMON,73954,9639
SANTA ANA,59462,13205
SANTA BARBARA,48965,11185
SANTA CLARA,39000,16822
SANTA CRUZ,73243,12058
SANTA MARIA,58068,11858
SANTA MONICA,53218,11361
SANTA ROSA,80391,13962
SEBASTOPOL,37562,13118
SHERMAN OAKS,48756,12310
SIMI VALLEY,64213,10132
SONOMA,36807,10918
SONORA,72832,13822
SOUTH EL MONTE,85203,17960
SOUTH LAKE TAHO,51696,16401
SOUTH SAN FRANC,38873,13740
STANFORD,129411,23123
STOCKTON,78418,12466
SUN CITY,30801,7279
SUN VALLEY,18718,10652
SYLMAR,31856,13729
TARZANA,89044,10556
TEMPLETON,71043,7625
THOUSAND OAKS,78516,12130
TORRANCE,71183,10998
TRACY,46753,9058
TULARE,25345,8423
TURLOCK,72449,9341
UKIAH,26442,8715
UPLAND,47382,10140
VACAVILLE,127153,11948
VALENCIA,84383,9939
VALLEJO,54553,12514
VAN NUYS,55552,14828
VENTURA,64642,10811
VICTORVILLE,38820,9799
VISALIA,45118,10707
WALNUT CREEK,112010,14163
WATSONVILLE,82346,12112
WEST COVINA,32310,10443
WEST HILLS,95291,10905
WHITTIER,83338,11931
WOODLAND,53568,12694
WOODLAND HILLS,39275,14178
YUBA CITY,67368,13103
