description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,37080,7570
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,69890,12977
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,69986,6420
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,33183,5934
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,45217,9523
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,19426,3697
CELLULITIS W/O MCC,603,25508,5784
CERVICAL SPINAL FUSION W/O CC/MCC,473,127977,15946
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,39045,7537
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,58834,8446
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,60522,7889
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,35130,7480
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,28140,4646
G.I. HEMORRHAGE W CC,378,32385,6917
G.I. HEMORRHAGE W MCC,377,66826,13238
G.I. OBSTRUCTION W CC,389,27581,6050
HEART FAILURE & SHOCK W CC,292,42304,6663
HEART FAILURE & SHOCK W MCC,291,58487,10866
HEART FAILURE & SHOCK W/O CC/MCC,293,25145,5147
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,66840,12228
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,143386,24891
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,249990,58206
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,35218,7632
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,52029,13450
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,30601,5774
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,27279,7319
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21952,5054
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,99513,20128
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,84605,14394
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,109434,17590
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,187302,41860
MEDICAL BACK PROBLEMS W/O MCC,552,34530,5311
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,49945,7896
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,26578,4478
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,35106,8267
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,33145,10064
OTHER VASCULAR PROCEDURES W MCC,252,99744,22463
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,150132,29070
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,120830,14344
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,76904,17166
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,62297,13211
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,31056,4033
PULMONARY EMBOLISM W/O MCC,176,41555,7752
RENAL FAILURE W CC,683,31388,6891
RENAL FAILURE W MCC,682,50823,10712
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,44305,9075
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,57810,13003
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,114902,19585
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,64192,13364
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,31650,7789
SIMPLE PNEUMONIA & PLEURISY W CC,194,32554,6498
SIMPLE PNEUMONIA & PLEURISY W MCC,193,58978,10312
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,25054,4588
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,247241,50008
SYNCOPE & COLLAPSE,312,29023,5188
TRANSIENT ISCHEMIA,069,30644,4734
