description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,66801,11040
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,120278,17806
BRONCHITIS & ASTHMA W CC/MCC,202,46828,7807
BRONCHITIS & ASTHMA W/O CC/MCC,203,35388,5646
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,45204,7787
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,54215,11435
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,33004,5291
CELLULITIS W MCC,602,60511,12945
CELLULITIS W/O MCC,603,45698,7966
CHEST PAIN,313,42542,5099
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,51984,9760
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,77749,11159
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,43486,6755
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,75268,10082
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,37289,8283
DIABETES W CC,638,41582,7352
DYSEQUILIBRIUM,149,43090,5921
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,68980,10704
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,40045,6811
G.I. HEMORRHAGE W CC,378,49236,9615
G.I. HEMORRHAGE W MCC,377,92601,16318
G.I. OBSTRUCTION W CC,389,39388,8057
G.I. OBSTRUCTION W/O CC/MCC,390,30803,6750
HEART FAILURE & SHOCK W CC,292,51906,9253
HEART FAILURE & SHOCK W MCC,291,80576,14335
HEART FAILURE & SHOCK W/O CC/MCC,293,44902,6288
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,114779,19001
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,80633,14230
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,239251,49288
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,57909,10987
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,94123,17316
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,44870,7422
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,69673,11045
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,43641,7197
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,173014,28572
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,95770,19565
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,130374,23895
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,261093,47582
MEDICAL BACK PROBLEMS W/O MCC,552,46942,8779
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,54515,10396
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,36758,6814
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,78556,16181
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,48508,9223
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,52931,8912
OTHER VASCULAR PROCEDURES W CC,253,134417,22255
OTHER VASCULAR PROCEDURES W MCC,252,144356,27757
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,166079,29473
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,131743,18840
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,105618,16433
PERIPHERAL VASCULAR DISORDERS W CC,300,41231,9812
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,38830,6147
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,97728,24567
PSYCHOSES,885,40832,8397
PULMONARY EDEMA & RESPIRATORY FAILURE,189,89162,14380
RED BLOOD CELL DISORDERS W MCC,811,79753,11625
RED BLOOD CELL DISORDERS W/O MCC,812,39938,7387
RENAL FAILURE W CC,683,55529,9803
RENAL FAILURE W MCC,682,109223,17101
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,83498,13306
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,104527,18472
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,282389,47602
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,125686,22868
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,280771,49640
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,112293,18469
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,56472,10482
SIGNS & SYMPTOMS W/O MCC,948,31349,6244
SIMPLE PNEUMONIA & PLEURISY W CC,194,58264,9050
SIMPLE PNEUMONIA & PLEURISY W MCC,193,79816,12850
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,40248,6575
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,179234,36032
SYNCOPE & COLLAPSE,312,44479,6656
TRANSIENT ISCHEMIA,069,55499,6847
