description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,89713,14933
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,59335,7996
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,67005,11232
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,47706,5391
CELLULITIS W/O MCC,603,53516,7930
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,80616,11143
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,51165,6835
DIABETES W CC,638,50611,7863
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,59110,7976
G.I. HEMORRHAGE W CC,378,70768,9633
G.I. OBSTRUCTION W CC,389,53761,8675
HEART FAILURE & SHOCK W CC,292,55192,9500
HEART FAILURE & SHOCK W MCC,291,85984,14220
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,115241,17862
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,82191,12353
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,50949,7426
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,132892,20209
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,147754,25079
MEDICAL BACK PROBLEMS W/O MCC,552,64557,8281
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,43808,10642
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,44751,6544
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,123774,25093
PULMONARY EDEMA & RESPIRATORY FAILURE,189,102165,12353
RED BLOOD CELL DISORDERS W/O MCC,812,73437,8400
RENAL FAILURE W CC,683,62867,9575
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,147310,21578
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,106817,18987
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,68841,12070
SIMPLE PNEUMONIA & PLEURISY W CC,194,56733,9273
SIMPLE PNEUMONIA & PLEURISY W MCC,193,95533,14214
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,55807,6871
