description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,19277,4738
CELLULITIS W/O MCC,603,27202,6953
CHEST PAIN,313,18410,4564
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,29739,7991
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,29122,9724
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,26460,5981
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,22319,6033
G.I. HEMORRHAGE W CC,378,22434,7991
HEART FAILURE & SHOCK W CC,292,22662,8382
HEART FAILURE & SHOCK W MCC,291,30902,12324
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,47688,15649
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,34237,9683
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,24301,6804
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,23627,6527
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,36250,17393
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,20238,5740
PULMONARY EDEMA & RESPIRATORY FAILURE,189,40961,10631
RENAL FAILURE W CC,683,24765,8376
RENAL FAILURE W MCC,682,33838,13365
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,62917,18782
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,46148,15389
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,29312,8378
SIMPLE PNEUMONIA & PLEURISY W CC,194,28976,8350
SIMPLE PNEUMONIA & PLEURISY W MCC,193,29597,12280
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,24176,5873
