providerName,providerNationalID,avgCoveredCharges,averagePayments
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,42138,12962
CEDARS-SINAI MEDICAL CENTER,50625,133636,16426
EAST LOS ANGELES DOCTORS HOSPITAL,50641,39023,11850
GOOD SAMARITAN HOSPITAL,50471,58037,11244
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,45155,13198
LOS ANGELES COMMUNITY HOSPITAL,50663,26153,11876
OLYMPIA MEDICAL CENTER,50742,84476,8737
PACIFIC ALLIANCE MEDICAL CENTER,50018,27532,13546
RONALD REAGAN UCLA MEDICAL CENTER,50262,51191,14576
SAINT VINCENT MEDICAL CENTER,50502,55204,12319
SILVER LAKE MEDICAL CENTER,50763,43807,12624
TEMPLE COMMUNITY HOSPITAL,50111,43210,10835
WHITE MEMORIAL MEDICAL CENTER,50103,50452,11886
