description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,49234,18409
ATHEROSCLEROSIS W/O MCC,303,17363,6053
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,21077,8536
CELLULITIS W/O MCC,603,19584,8697
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,39023,11850
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,23760,7447
G.I. HEMORRHAGE W CC,378,35202,10666
HEART FAILURE & SHOCK W CC,292,29361,10695
HEART FAILURE & SHOCK W MCC,291,44403,15756
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,27762,8004
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,21355,7180
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,79075,19576
RENAL FAILURE W CC,683,31528,10634
RENAL FAILURE W MCC,682,60852,16894
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,90557,21815
SEIZURES W/O MCC,101,26746,7910
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,67962,19599
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,46647,11986
SIMPLE PNEUMONIA & PLEURISY W MCC,193,51946,15037
