description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,38144,16170
ATHEROSCLEROSIS W/O MCC,303,19060,5320
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,24946,7389
CELLULITIS W/O MCC,603,18202,7589
CHEST PAIN,313,17479,4996
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,22043,10678
DIABETES W CC,638,21522,7580
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,21361,6509
HEART FAILURE & SHOCK W MCC,291,32862,13255
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,18169,7114
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,16205,6119
PULMONARY EDEMA & RESPIRATORY FAILURE,189,23824,11596
RED BLOOD CELL DISORDERS W/O MCC,812,13991,7218
RENAL FAILURE W CC,683,27692,9022
RENAL FAILURE W MCC,682,28128,13183
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,44800,16626
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,47044,20652
SEIZURES W/O MCC,101,14587,6916
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,123924,42905
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,41304,16523
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,22664,10114
SIMPLE PNEUMONIA & PLEURISY W CC,194,23453,8989
SIMPLE PNEUMONIA & PLEURISY W MCC,193,25069,12717
