description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,20443,7560
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,29098,10376
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,16200,5565
ATHEROSCLEROSIS W/O MCC,303,12440,4477
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,22483,7051
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,20480,5875
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,28099,8940
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14949,4320
CELLULITIS W/O MCC,603,17989,5817
CERVICAL SPINAL FUSION W/O CC/MCC,473,48688,14771
CHEST PAIN,313,14214,3949
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,39108,7681
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,37391,8480
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,21183,5071
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,22742,6478
DIABETES W CC,638,22344,5790
DYSEQUILIBRIUM,149,15860,4544
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,28310,8215
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19359,5112
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,26258,7244
FRACTURES OF HIP & PELVIS W/O MCC,536,20500,5085
G.I. HEMORRHAGE W CC,378,21930,7309
G.I. HEMORRHAGE W MCC,377,55492,13702
G.I. OBSTRUCTION W CC,389,25255,6646
G.I. OBSTRUCTION W/O CC/MCC,390,16784,4530
HEART FAILURE & SHOCK W CC,292,24637,7188
HEART FAILURE & SHOCK W MCC,291,31840,10367
HEART FAILURE & SHOCK W/O CC/MCC,293,16777,4848
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,41117,12910
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,35222,10800
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,141259,42386
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,25902,8197
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,38767,13293
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,17632,5767
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,24804,8064
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,17783,5604
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,25246,8355
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,31248,9037
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,44553,15255
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,65214,18331
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,118096,36251
MEDICAL BACK PROBLEMS W/O MCC,552,20491,5901
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,34490,8004
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,16398,5145
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,23473,6735
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,30504,11498
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,31826,7496
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,22423,7666
OTHER VASCULAR PROCEDURES W CC,253,73107,17080
OTHER VASCULAR PROCEDURES W MCC,252,68074,21163
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,35271,11487
PERIPHERAL VASCULAR DISORDERS W CC,300,26444,6953
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,14034,4602
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,53644,18266
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,46448,14523
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,44109,10724
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,26584,4821
PULMONARY EDEMA & RESPIRATORY FAILURE,189,34923,9111
PULMONARY EMBOLISM W/O MCC,176,28665,7589
RED BLOOD CELL DISORDERS W MCC,811,28911,8921
RED BLOOD CELL DISORDERS W/O MCC,812,18345,5628
RENAL FAILURE W CC,683,21652,7208
RENAL FAILURE W MCC,682,100827,24109
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,36555,10084
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,54578,14346
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,140606,37885
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,56269,16276
SEIZURES W/O MCC,101,22456,5349
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,54202,14477
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,28724,8144
SIGNS & SYMPTOMS W/O MCC,948,17864,4747
SIMPLE PNEUMONIA & PLEURISY W CC,194,25069,7057
SIMPLE PNEUMONIA & PLEURISY W MCC,193,51683,11324
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23642,5075
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,109718,27696
SYNCOPE & COLLAPSE,312,17709,5312
TRANSIENT ISCHEMIA,069,14604,5195
