description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,63630,16338
ATHEROSCLEROSIS W/O MCC,303,18716,5255
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,24715,7561
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,34941,11119
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,20327,5152
CELLULITIS W/O MCC,603,27531,7420
CHEST PAIN,313,20739,4961
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,36103,8777
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,32460,10366
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,15987,6486
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,62427,17825
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,50703,9807
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,26871,7751
DIABETES W CC,638,31933,8301
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,29620,10410
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20125,6438
G.I. HEMORRHAGE W CC,378,24511,9138
G.I. HEMORRHAGE W MCC,377,33524,14597
HEART FAILURE & SHOCK W CC,292,25439,9151
HEART FAILURE & SHOCK W MCC,291,37565,13080
HEART FAILURE & SHOCK W/O CC/MCC,293,17166,6189
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,128014,44330
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,29165,10019
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,40483,15390
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,32483,10364
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21173,7022
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,22486,9942
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,21231,6159
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,42878,15701
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,35857,13400
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,37596,5926
PSYCHOSES,885,33469,8193
PULMONARY EDEMA & RESPIRATORY FAILURE,189,37332,11624
RED BLOOD CELL DISORDERS W/O MCC,812,13730,7167
RENAL FAILURE W CC,683,29309,9039
RENAL FAILURE W MCC,682,29275,14101
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,56217,17724
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,68193,19275
SEIZURES W/O MCC,101,22600,6862
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,168208,48845
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,55020,16208
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,28587,10153
SIMPLE PNEUMONIA & PLEURISY W CC,194,30071,8898
SIMPLE PNEUMONIA & PLEURISY W MCC,193,44366,12850
SYNCOPE & COLLAPSE,312,24946,6465
TRANSIENT ISCHEMIA,069,22856,7084
