description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,53829,10194
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,59325,15449
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,43089,7165
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,59304,8823
BRONCHITIS & ASTHMA W CC/MCC,202,40900,7462
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,28440,7369
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,58177,11159
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,19624,5015
CELLULITIS W/O MCC,603,38007,7631
CERVICAL SPINAL FUSION W/O CC/MCC,473,87842,19681
CHEST PAIN,313,24998,4840
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,45501,8478
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,51060,10258
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,31305,6353
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,99136,19138
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,61980,10102
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,29770,7600
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,37543,7937
DIABETES W CC,638,34846,7104
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,46793,8807
DYSEQUILIBRIUM,149,26037,5605
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,59313,11121
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,40226,6459
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,60997,8895
FRACTURES OF HIP & PELVIS W/O MCC,536,30986,6165
G.I. HEMORRHAGE W CC,378,41074,9332
G.I. HEMORRHAGE W MCC,377,65970,14928
G.I. OBSTRUCTION W CC,389,43196,8219
G.I. OBSTRUCTION W/O CC/MCC,390,26910,5572
HEART FAILURE & SHOCK W CC,292,38308,8683
HEART FAILURE & SHOCK W MCC,291,69967,13764
HEART FAILURE & SHOCK W/O CC/MCC,293,32891,6050
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,90470,15843
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,120698,25788
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,217226,48098
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,44366,9756
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,129675,22258
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,40387,7188
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,41195,10278
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,34519,7018
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,139841,30407
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,43446,10300
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,89351,18783
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,110074,22712
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,271920,50866
MEDICAL BACK PROBLEMS W/O MCC,552,31741,7153
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,54996,11988
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,34091,6398
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,56037,8696
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,60770,16714
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,47808,8862
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,35539,8487
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,63681,13070
OTHER VASCULAR PROCEDURES W CC,253,113049,22395
OTHER VASCULAR PROCEDURES W MCC,252,144902,28094
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,79483,15643
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,134963,29050
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,98403,19811
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,69882,15450
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,99990,16972
PERIPHERAL VASCULAR DISORDERS W CC,300,34676,9109
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,18683,5381
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,80125,22770
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,61597,17529
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,51544,12801
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,27349,5864
PSYCHOSES,885,22127,7905
PULMONARY EDEMA & RESPIRATORY FAILURE,189,59251,11290
PULMONARY EMBOLISM W/O MCC,176,44671,9196
RED BLOOD CELL DISORDERS W MCC,811,57711,12589
RED BLOOD CELL DISORDERS W/O MCC,812,30152,7034
RENAL FAILURE W CC,683,43372,8809
RENAL FAILURE W MCC,682,53632,13837
RENAL FAILURE W/O CC/MCC,684,25561,5807
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,50622,12757
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,77692,17140
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,100839,19334
SEIZURES W/O MCC,101,47019,6678
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,304532,55216
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,97797,18337
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,50135,10147
SIGNS & SYMPTOMS W/O MCC,948,34264,5876
SIMPLE PNEUMONIA & PLEURISY W CC,194,39007,8902
SIMPLE PNEUMONIA & PLEURISY W MCC,193,60338,12470
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,33129,6159
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,140877,34651
SYNCOPE & COLLAPSE,312,32656,6338
TRANSIENT ISCHEMIA,069,36097,7515
