description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,46965,8601
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17374,6213
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,15959,6520
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,12700,4641
G.I. HEMORRHAGE W CC,378,18682,6549
HEART FAILURE & SHOCK W CC,292,16439,6127
HEART FAILURE & SHOCK W MCC,291,18906,8960
HEART FAILURE & SHOCK W/O CC/MCC,293,11895,4345
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13054,5065
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,38051,13546
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11705,4394
RENAL FAILURE W CC,683,12999,6349
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,39281,11966
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,25199,7435
SIMPLE PNEUMONIA & PLEURISY W CC,194,18559,6540
