description,code,avgCoveredCharges,averagePayments
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,65478,5154
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,53528,7421
CELLULITIS W/O MCC,603,42180,6600
CERVICAL SPINAL FUSION W/O CC/MCC,473,96855,15360
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,60349,5772
G.I. HEMORRHAGE W CC,378,50814,7449
G.I. HEMORRHAGE W/O CC/MCC,379,38033,5180
G.I. OBSTRUCTION W/O CC/MCC,390,37071,5653
HEART FAILURE & SHOCK W CC,292,79927,7434
HEART FAILURE & SHOCK W MCC,291,74773,10495
HEART FAILURE & SHOCK W/O CC/MCC,293,48505,5041
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,95593,13224
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,94242,12128
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,83909,8243
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,68978,5914
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,41846,5691
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,152560,22685
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,102001,15387
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,160925,18604
MEDICAL BACK PROBLEMS W/O MCC,552,67428,6007
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,44082,5116
PULMONARY EDEMA & RESPIRATORY FAILURE,189,111986,9505
RED BLOOD CELL DISORDERS W/O MCC,812,35227,5823
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,71186,11022
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,129181,14443
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,64754,8890
SIMPLE PNEUMONIA & PLEURISY W CC,194,71497,7282
SIMPLE PNEUMONIA & PLEURISY W MCC,193,110954,11467
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,46974,5210
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,181777,29250
TRANSIENT ISCHEMIA,069,58727,5381
