description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,61138,10825
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,101023,16848
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,46034,5902
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,57771,9010
BRONCHITIS & ASTHMA W CC/MCC,202,52122,8313
BRONCHITIS & ASTHMA W/O CC/MCC,203,43466,5525
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,52393,7650
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,66802,11776
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,35205,5348
CELLULITIS W/O MCC,603,46016,7423
CHEST PAIN,313,33289,4994
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,62576,8613
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,69857,10464
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,45091,6555
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,74632,10350
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,42534,7824
DIABETES W CC,638,59827,9932
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,71528,9164
DYSEQUILIBRIUM,149,36040,5804
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,75318,10875
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,45146,6725
FRACTURES OF HIP & PELVIS W/O MCC,536,44193,5990
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,34916,5908
G.I. HEMORRHAGE W CC,378,61722,10405
G.I. HEMORRHAGE W MCC,377,104505,15744
G.I. HEMORRHAGE W/O CC/MCC,379,35955,6488
G.I. OBSTRUCTION W CC,389,47572,8312
G.I. OBSTRUCTION W/O CC/MCC,390,45600,7576
HEART FAILURE & SHOCK W CC,292,67238,9276
HEART FAILURE & SHOCK W MCC,291,106226,13833
HEART FAILURE & SHOCK W/O CC/MCC,293,46076,6232
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,98413,17031
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,150680,27462
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,79207,13695
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,317334,54418
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,46349,9344
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,88828,16706
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,42580,7233
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,54882,10132
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,43144,6993
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,107862,15450
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,76984,10630
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,68350,11618
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,103467,19732
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,154035,27611
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,259985,50651
MEDICAL BACK PROBLEMS W/O MCC,552,40566,7086
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,41650,6473
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,103750,18417
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,62554,9035
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,104816,18081
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,96642,16951
PERIPHERAL VASCULAR DISORDERS W CC,300,78376,10116
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,99183,23913
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,65858,18492
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,49909,5677
PSYCHOSES,885,59036,8418
PULMONARY EDEMA & RESPIRATORY FAILURE,189,105083,12467
PULMONARY EMBOLISM W/O MCC,176,58440,9372
RED BLOOD CELL DISORDERS W/O MCC,812,42091,7226
RENAL FAILURE W CC,683,81030,10700
RENAL FAILURE W MCC,682,76725,14851
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,61139,13876
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,104573,18348
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,162712,23762
SEIZURES W/O MCC,101,50796,6918
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,359383,56792
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,128489,19535
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,62378,10590
SIGNS & SYMPTOMS W/O MCC,948,46645,6094
SIMPLE PNEUMONIA & PLEURISY W CC,194,60387,9175
SIMPLE PNEUMONIA & PLEURISY W MCC,193,82084,13152
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,39812,6351
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,233673,36246
SYNCOPE & COLLAPSE,312,39282,6518
TRANSIENT ISCHEMIA,069,54819,9279
