description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,45928,7892
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,55870,11438
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,33132,6779
BRONCHITIS & ASTHMA W CC/MCC,202,29395,5362
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,25090,5339
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,34506,7765
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,19504,3723
CELLULITIS W MCC,602,46959,10129
CELLULITIS W/O MCC,603,26558,5532
CERVICAL SPINAL FUSION W/O CC/MCC,473,67517,14369
CHEST PAIN,313,19616,3541
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,33768,5975
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,36289,7296
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,45088,7264
DIABETES W CC,638,26419,4913
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,31919,6221
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,25955,4590
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,26210,6483
FRACTURES OF HIP & PELVIS W/O MCC,536,21558,4466
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,21227,4553
G.I. HEMORRHAGE W CC,378,31205,6524
G.I. HEMORRHAGE W MCC,377,58396,10949
G.I. HEMORRHAGE W/O CC/MCC,379,22424,5052
G.I. OBSTRUCTION W CC,389,26583,6101
G.I. OBSTRUCTION W/O CC/MCC,390,21418,4168
HEART FAILURE & SHOCK W CC,292,31602,6428
HEART FAILURE & SHOCK W MCC,291,52635,9600
HEART FAILURE & SHOCK W/O CC/MCC,293,21723,4362
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,61674,11924
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,104293,21771
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,45859,10945
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,166609,44794
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,38198,7029
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,56517,11429
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,29259,5154
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,38210,7846
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,23914,4843
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,31420,7998
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,84188,21055
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,50614,13838
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,73069,17416
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,136563,33554
MEDICAL BACK PROBLEMS W/O MCC,552,29847,5104
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,39720,7207
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,23956,4283
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,46996,11450
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,32794,6327
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,33611,6388
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,57629,10753
OTHER VASCULAR PROCEDURES W CC,253,83101,15589
OTHER VASCULAR PROCEDURES W MCC,252,83488,19068
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,119760,20822
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,87145,12911
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,87009,11965
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,58603,11453
PERIPHERAL VASCULAR DISORDERS W CC,300,24855,6779
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,68640,18124
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,50975,13209
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,42891,10814
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,25082,3966
PULMONARY EDEMA & RESPIRATORY FAILURE,189,52903,8324
RED BLOOD CELL DISORDERS W MCC,811,38570,7985
RED BLOOD CELL DISORDERS W/O MCC,812,25932,5065
RENAL FAILURE W CC,683,31257,6574
RENAL FAILURE W MCC,682,55665,10995
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,46590,9047
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,60610,12428
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,184128,41560
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,79646,15156
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,61470,12368
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,38290,7511
SIGNS & SYMPTOMS W/O MCC,948,20761,4418
SIMPLE PNEUMONIA & PLEURISY W CC,194,35237,6545
SIMPLE PNEUMONIA & PLEURISY W MCC,193,49328,9451
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,22990,4512
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,93245,24587
SYNCOPE & COLLAPSE,312,29484,4565
TRANSIENT ISCHEMIA,069,30865,4624
