description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,96687,9152
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,126603,15580
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,73413,5242
ATHEROSCLEROSIS W/O MCC,303,65517,4734
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,105035,8667
BRONCHITIS & ASTHMA W CC/MCC,202,75520,7624
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,71301,6811
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,99172,12581
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,54378,4906
CELLULITIS W MCC,602,78042,11596
CELLULITIS W/O MCC,603,51242,6952
CHEST PAIN,313,62420,5808
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,82145,7635
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,98119,9367
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,56359,5539
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,116502,8906
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,78774,8478
DIABETES W CC,638,59193,7195
DYSEQUILIBRIUM,149,41582,5000
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,133354,14657
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,71175,6625
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,85165,12356
FRACTURES OF HIP & PELVIS W/O MCC,536,64016,6282
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,65639,5598
G.I. HEMORRHAGE W CC,378,71526,8068
G.I. HEMORRHAGE W MCC,377,127461,14691
G.I. HEMORRHAGE W/O CC/MCC,379,60182,5592
G.I. OBSTRUCTION W CC,389,73761,7780
G.I. OBSTRUCTION W/O CC/MCC,390,42155,4984
HEART FAILURE & SHOCK W CC,292,85035,8442
HEART FAILURE & SHOCK W MCC,291,125713,16064
HEART FAILURE & SHOCK W/O CC/MCC,293,65577,6141
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,129671,14556
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,228308,30704
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,124164,12016
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,365972,67064
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,88194,10428
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,162976,24441
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,58149,7112
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,97043,9378
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,58976,6257
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,115066,13549
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,96820,9154
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,101887,12116
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,253604,34604
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,135076,18065
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,152231,21149
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,332675,52937
MEDICAL BACK PROBLEMS W/O MCC,552,67276,6335
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,94948,10983
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,57512,5549
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,73470,7451
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,232067,31156
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,66338,8006
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,82598,8758
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,164621,20638
OTHER VASCULAR PROCEDURES W CC,253,153209,20993
OTHER VASCULAR PROCEDURES W MCC,252,165411,26624
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,182467,16815
PERIPHERAL VASCULAR DISORDERS W CC,300,70702,7442
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,199035,24060
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,166839,16472
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,143014,24696
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,68765,5654
PULMONARY EDEMA & RESPIRATORY FAILURE,189,132902,13756
PULMONARY EMBOLISM W/O MCC,176,80960,9040
RED BLOOD CELL DISORDERS W/O MCC,812,65945,6729
RENAL FAILURE W CC,683,77260,8305
RENAL FAILURE W MCC,682,150940,16826
RENAL FAILURE W/O CC/MCC,684,56329,5155
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,90047,11175
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,162547,20516
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,482622,87229
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,263193,33026
SEIZURES W/O MCC,101,63655,6067
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,510935,81991
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,179886,22360
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,89346,9819
SIGNS & SYMPTOMS W/O MCC,948,59579,6368
SIMPLE PNEUMONIA & PLEURISY W CC,194,76288,9612
SIMPLE PNEUMONIA & PLEURISY W MCC,193,113413,12919
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,53951,5537
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,234533,36541
SYNCOPE & COLLAPSE,312,67566,6453
TRANSIENT ISCHEMIA,069,62602,6483
