description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,79453,7907
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,117751,15246
ATHEROSCLEROSIS W/O MCC,303,30414,4148
BRONCHITIS & ASTHMA W CC/MCC,202,77953,6588
BRONCHITIS & ASTHMA W/O CC/MCC,203,59304,3950
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,42046,5669
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,55540,9057
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,33865,3794
CELLULITIS W MCC,602,100634,10048
CELLULITIS W/O MCC,603,40533,5800
CHEST PAIN,313,33025,3752
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,89152,6756
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,86952,8027
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,84914,4868
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,81990,9547
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,50831,6221
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,61239,7672
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,51524,5255
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,64347,6770
FRACTURES OF HIP & PELVIS W/O MCC,536,44564,4632
G.I. HEMORRHAGE W CC,378,71890,7680
G.I. HEMORRHAGE W MCC,377,98695,11736
G.I. HEMORRHAGE W/O CC/MCC,379,36147,4632
G.I. OBSTRUCTION W CC,389,55072,6205
G.I. OBSTRUCTION W/O CC/MCC,390,39981,4544
HEART FAILURE & SHOCK W CC,292,61907,7042
HEART FAILURE & SHOCK W MCC,291,88653,9881
HEART FAILURE & SHOCK W/O CC/MCC,293,44029,5628
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,109246,12389
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,94066,10150
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,296402,38624
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,63254,7634
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,90369,13544
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,57494,5299
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,69316,7786
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,48854,5174
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,56217,8368
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,185452,24802
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,108122,15801
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,144512,17418
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,309849,41073
MEDICAL BACK PROBLEMS W/O MCC,552,50639,5298
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,86542,7756
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,41627,4505
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,59312,6187
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,122487,13403
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,60285,6905
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,69072,7956
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,114658,13086
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,106847,16827
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,131325,11962
PERIPHERAL VASCULAR DISORDERS W CC,300,47876,6381
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,120524,17302
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,101873,14546
PULMONARY EDEMA & RESPIRATORY FAILURE,189,110571,9493
PULMONARY EMBOLISM W/O MCC,176,105336,9807
RED BLOOD CELL DISORDERS W/O MCC,812,33142,5285
RENAL FAILURE W CC,683,62441,7831
RENAL FAILURE W MCC,682,112530,11879
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,98636,10453
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,183238,19388
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,361893,41182
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,180809,20030
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,401723,49622
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,135950,15264
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,92581,8502
SIMPLE PNEUMONIA & PLEURISY W CC,194,79294,7330
SIMPLE PNEUMONIA & PLEURISY W MCC,193,101431,9669
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,54179,4879
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,194531,25362
SYNCOPE & COLLAPSE,312,50710,4765
TRANSIENT ISCHEMIA,069,44529,5201
