description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,33827,11510
G.I. HEMORRHAGE W CC,378,28408,7669
HEART FAILURE & SHOCK W MCC,291,48427,11146
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,80143,13786
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,24860,5563
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,79086,20407
PULMONARY EDEMA & RESPIRATORY FAILURE,189,45327,10266
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,68519,14614
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,40171,13619
SIMPLE PNEUMONIA & PLEURISY W CC,194,29734,7791
SIMPLE PNEUMONIA & PLEURISY W MCC,193,46981,10781
