description,code,avgCoveredCharges,averagePayments
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,43023,7774
BRONCHITIS & ASTHMA W CC/MCC,202,26193,5814
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,26290,5635
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,33931,7883
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,21442,3924
CELLULITIS W MCC,602,49855,9749
CELLULITIS W/O MCC,603,26208,5548
CHEST PAIN,313,28013,3626
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,28961,6067
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,39903,7775
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,23189,4692
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,40660,6914
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,29376,5899
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,34832,8001
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,29425,5076
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,33356,6120
FRACTURES OF HIP & PELVIS W/O MCC,536,29143,4816
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,18426,4857
G.I. HEMORRHAGE W CC,378,32457,6426
G.I. HEMORRHAGE W MCC,377,58756,12288
G.I. HEMORRHAGE W/O CC/MCC,379,20713,4630
G.I. OBSTRUCTION W CC,389,30849,7200
HEART FAILURE & SHOCK W CC,292,30980,6622
HEART FAILURE & SHOCK W MCC,291,44148,9079
HEART FAILURE & SHOCK W/O CC/MCC,293,23841,5057
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,67343,11780
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,164610,37559
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,36926,7212
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,38665,11442
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,27994,7189
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,26564,5235
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,100429,18596
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,69781,14010
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,76089,17001
MEDICAL BACK PROBLEMS W/O MCC,552,33065,5029
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,39556,7255
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,24470,4505
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,30170,7490
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,43722,7018
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,45813,9843
OTHER VASCULAR PROCEDURES W CC,253,98187,16299
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,75237,13274
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,75277,11653
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,85515,16099
PULMONARY EMBOLISM W/O MCC,176,40326,7098
RENAL FAILURE W CC,683,29568,6605
RENAL FAILURE W MCC,682,79034,14833
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,39950,9807
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,56022,14007
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,53799,12174
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,37863,8460
SIGNS & SYMPTOMS W/O MCC,948,24180,4506
SIMPLE PNEUMONIA & PLEURISY W CC,194,30207,6294
SIMPLE PNEUMONIA & PLEURISY W MCC,193,46216,9639
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,29800,4799
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,205037,32373
SYNCOPE & COLLAPSE,312,30174,4942
TRANSIENT ISCHEMIA,069,34405,4982
