city,avgCoveredCharges,averagePayments
ALAMOSA,20171,9365
AURORA,53984,12129
BOULDER,33143,8052
BRIGHTON,25199,8539
COLORADO SPRING,31577,9053
DELTA,24682,8572
DENVER,37081,11127
DURANGO,17536,10830
ENGLEWOOD,54932,8810
FORT COLLINS,38161,8469
GRAND JUNCTION,31512,9665
GREELEY,30997,9520
LA JUNTA,16800,9396
LAFAYETTE,53641,9470
LAKEWOOD,38670,8548
LITTLETON,58650,8446
LONE TREE,57014,8898
LONGMONT,44963,9396
LOUISVILLE,33146,9686
LOVELAND,25433,8015
MONTROSE,17892,8997
PARKER,43452,8433
PUEBLO,42285,9032
STERLING,24891,12442
THORNTON,48011,9738
WESTMINSTER,37256,9512
WHEAT RIDGE,38772,8680
