city,avgCoveredCharges,averagePayments
ALAMOSA,19189,8034
AURORA,52409,12045
BOULDER,48952,9315
BRIGHTON,25144,7631
CANON CITY,26192,8067
CHEYENNE WELLS,10364,15172
COLORADO SPRING,34455,8315
DELTA,15599,6298
DENVER,51869,11411
DURANGO,34895,12019
ENGLEWOOD,55742,9748
FORT COLLINS,31378,9384
FORT MORGAN,29646,8134
FRISCO,116468,22450
GLENWOOD SPRING,40303,15506
GRAND JUNCTION,29776,9897
GREELEY,33147,8958
LA JUNTA,12790,7462
LAFAYETTE,47506,8459
LAKEWOOD,64690,11746
LITTLETON,53003,7894
LONE TREE,70013,11461
LONGMONT,37873,8647
LOUISVILLE,43756,11090
LOVELAND,33229,8961
MONTROSE,17735,7827
PARKER,61439,10499
PUEBLO,40874,8449
STEAMBOAT SPRIN,40688,22477
STERLING,22752,10868
THORNTON,54665,10782
VAIL,61893,35063
WESTMINSTER,36249,8322
WHEAT RIDGE,40098,8207
