description,code,avgCoveredCharges,averagePayments
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,43764,5760
BRONCHITIS & ASTHMA W CC/MCC,202,33560,5026
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,29837,5105
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,47084,7170
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,25079,3317
CELLULITIS W/O MCC,603,31455,4843
CERVICAL SPINAL FUSION W/O CC/MCC,473,110486,13480
CHEST PAIN,313,31455,3685
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,43907,6326
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,44122,6751
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,26995,4222
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,47458,7036
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,24455,5256
DYSEQUILIBRIUM,149,34031,3712
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,45501,6710
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,31507,4206
FRACTURES OF HIP & PELVIS W/O MCC,536,32094,4178
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,30520,4156
G.I. HEMORRHAGE W CC,378,38762,5945
G.I. OBSTRUCTION W CC,389,39704,5429
G.I. OBSTRUCTION W/O CC/MCC,390,23565,3701
HEART FAILURE & SHOCK W CC,292,45594,6066
HEART FAILURE & SHOCK W MCC,291,51013,8486
HEART FAILURE & SHOCK W/O CC/MCC,293,26826,3839
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,80281,11300
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,108625,17480
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,151104,29661
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,44118,6461
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,69552,12136
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,38694,4532
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,48892,6999
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,29595,4481
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,54951,9875
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,43244,7307
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,120276,20263
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,77752,12686
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,71315,14003
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,213332,33356
MEDICAL BACK PROBLEMS W/O MCC,552,41113,4751
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,49241,6348
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,30388,4038
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,36409,5731
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,36975,5775
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,33597,5558
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,99784,13478
PERIPHERAL VASCULAR DISORDERS W CC,300,31565,5440
PULMONARY EDEMA & RESPIRATORY FAILURE,189,51935,7837
PULMONARY EMBOLISM W/O MCC,176,31960,6979
RED BLOOD CELL DISORDERS W/O MCC,812,33325,4623
RENAL FAILURE W CC,683,44199,6112
RENAL FAILURE W MCC,682,73282,9901
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,54433,8968
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,79738,12010
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,109200,13536
SEIZURES W/O MCC,101,32529,4427
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,85497,11600
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,42396,6625
SIGNS & SYMPTOMS W/O MCC,948,29934,4148
SIMPLE PNEUMONIA & PLEURISY W CC,194,34631,6107
SIMPLE PNEUMONIA & PLEURISY W MCC,193,58650,8446
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,26577,4111
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,189568,25516
SYNCOPE & COLLAPSE,312,33753,4167
TRANSIENT ISCHEMIA,069,31472,4248
