description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,21008,6518
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,40660,10777
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,19694,4374
ATHEROSCLEROSIS W/O MCC,303,11230,3190
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,20730,5425
BRONCHITIS & ASTHMA W CC/MCC,202,15200,4609
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11870,4589
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,31068,10046
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10815,3847
CELLULITIS W/O MCC,603,19098,4584
CERVICAL SPINAL FUSION W/O CC/MCC,473,46821,12587
CHEST PAIN,313,15705,3407
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22344,6948
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,28689,8035
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17046,4572
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,20260,6310
DIABETES W CC,638,20933,4545
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,26619,6320
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18626,4327
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,27635,6518
G.I. HEMORRHAGE W CC,378,26162,5699
G.I. HEMORRHAGE W MCC,377,36151,9230
G.I. OBSTRUCTION W CC,389,16783,4660
G.I. OBSTRUCTION W/O CC/MCC,390,13078,4179
HEART FAILURE & SHOCK W CC,292,24656,6278
HEART FAILURE & SHOCK W MCC,291,29053,8016
HEART FAILURE & SHOCK W/O CC/MCC,293,16118,3901
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,43369,10027
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,33673,8084
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,22905,6016
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,52349,12148
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,17533,5469
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16526,4126
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,102768,22720
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,20928,6605
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,55676,12552
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,64697,16476
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,146946,43516
MEDICAL BACK PROBLEMS W/O MCC,552,17756,7003
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,12183,6151
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14377,3819
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,58918,13293
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,24009,5471
OTHER VASCULAR PROCEDURES W CC,253,53508,14026
OTHER VASCULAR PROCEDURES W MCC,252,67448,20129
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,41647,10927
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,74132,23822
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,56663,12203
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,55973,13041
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,54694,11687
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,57707,14191
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,54365,11956
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,10815,3392
PULMONARY EDEMA & RESPIRATORY FAILURE,189,29871,7937
RENAL FAILURE W CC,683,19877,5294
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,33133,8446
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,59798,15022
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,61455,14627
SEIZURES W/O MCC,101,17534,4210
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,41495,13174
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,29411,6183
SIGNS & SYMPTOMS W/O MCC,948,15473,3594
SIMPLE PNEUMONIA & PLEURISY W CC,194,22097,5667
SIMPLE PNEUMONIA & PLEURISY W MCC,193,35429,8534
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13567,3674
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,82984,23205
SYNCOPE & COLLAPSE,312,16726,3924
TRANSIENT ISCHEMIA,069,17369,4649
