description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,32985,7185
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,42944,10732
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,22000,4892
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,32632,4319
BRONCHITIS & ASTHMA W CC/MCC,202,29399,5687
BRONCHITIS & ASTHMA W/O CC/MCC,203,17030,3689
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,24712,5088
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,38080,7420
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,19999,3588
CELLULITIS W MCC,602,43618,8181
CELLULITIS W/O MCC,603,24090,4948
CHEST PAIN,313,22388,3336
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,29875,5878
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,34301,7078
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,20617,4467
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,37667,7004
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,24320,5491
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,24187,5308
DIABETES W CC,638,23682,4749
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,30822,6181
DYSEQUILIBRIUM,149,20076,3876
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,31518,7217
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,23617,4354
FRACTURES OF HIP & PELVIS W/O MCC,536,18826,4250
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,17118,4272
G.I. HEMORRHAGE W CC,378,29337,6559
G.I. HEMORRHAGE W MCC,377,47324,10641
G.I. HEMORRHAGE W/O CC/MCC,379,14332,4264
G.I. OBSTRUCTION W CC,389,27796,5624
G.I. OBSTRUCTION W/O CC/MCC,390,22538,4052
HEART FAILURE & SHOCK W CC,292,26111,6048
HEART FAILURE & SHOCK W MCC,291,42106,8915
HEART FAILURE & SHOCK W/O CC/MCC,293,20151,4009
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,60460,11288
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,88639,18528
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,45532,9067
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,117076,30873
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,38255,6735
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,43781,11136
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,31580,4844
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,23500,6729
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21417,4621
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,49616,10733
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,30989,7535
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,82156,13352
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,78024,15099
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,130868,34793
MEDICAL BACK PROBLEMS W/O MCC,552,30042,5024
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,27039,6683
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,21584,4099
