city,avgCoveredCharges,averagePayments
BRIDGEPORT,26397,10147
BRISTOL,16410,7437
DANBURY,19191,8748
DERBY,25736,9096
FARMINGTON,20321,13240
GREENWICH,32068,8067
HARTFORD,29671,9985
MANCHESTER,15724,7648
MERIDEN,22936,8244
MIDDLETOWN,38985,8122
MILFORD,18612,7504
NEW BRITAIN,25041,9109
NEW HAVEN,39658,11266
NEW LONDON,20810,8253
NEW MILFORD,28955,8316
NORWALK,33124,9071
NORWICH,19605,8358
STAFFORD SPRING,23850,8505
STAMFORD,45090,9016
TORRINGTON,10745,7445
WATERBURY,30414,9271
WILLIMANTIC,15871,10191
