city,avgCoveredCharges,averagePayments
BRIDGEPORT,34419,11668
BRISTOL,21488,7915
DANBURY,24779,10211
DERBY,25673,8859
FARMINGTON,25946,15609
GREENWICH,35960,9088
HARTFORD,31658,13249
MANCHESTER,21527,8854
MERIDEN,22362,9034
MIDDLETOWN,34386,9258
MILFORD,24261,9156
NEW BRITAIN,22748,9162
NEW HAVEN,43769,13275
NEW LONDON,19760,9430
NEW MILFORD,28571,9335
NORWALK,33396,10419
NORWICH,19725,9107
PUTNAM,11755,7000
ROCKVILLE,20166,8621
SHARON,18864,10040
STAFFORD SPRING,22555,8038
STAMFORD,44634,10773
TORRINGTON,13608,8802
WALLINGFORD,5615,6789
WATERBURY,31705,11274
WEST HARTFORD,10382,8782
WILLIMANTIC,16134,9854
