description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,35114,12749
ATHEROSCLEROSIS W/O MCC,303,12206,4118
BRONCHITIS & ASTHMA W CC/MCC,202,16960,5977
BRONCHITIS & ASTHMA W/O CC/MCC,203,14770,4347
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,16985,5907
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,13313,4046
CELLULITIS W/O MCC,603,17321,6145
CHEST PAIN,313,14818,3960
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25702,6844
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,24497,8408
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,13551,5023
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,46555,15835
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,34773,8034
DIABETES W CC,638,16471,6138
DYSEQUILIBRIUM,149,15867,4508
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,27534,8292
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16232,5123
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,15122,5591
G.I. HEMORRHAGE W CC,378,23478,7161
G.I. HEMORRHAGE W/O CC/MCC,379,16068,5072
G.I. OBSTRUCTION W CC,389,18506,6875
HEART FAILURE & SHOCK W CC,292,21475,7326
HEART FAILURE & SHOCK W MCC,291,28065,10378
HEART FAILURE & SHOCK W/O CC/MCC,293,12892,4868
HYPERTENSION W/O MCC,305,14644,4338
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,30025,7928
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,32885,12984
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,18570,5859
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,26167,8577
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16489,5550
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,54227,14381
MEDICAL BACK PROBLEMS W/O MCC,552,12593,5615
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,14383,7875
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12016,4821
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,17778,6554
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,27404,12107
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,24804,7064
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,92966,23377
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,65228,14454
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,54385,12460
PERIPHERAL VASCULAR DISORDERS W CC,300,17400,8488
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,16328,4587
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,11892,5027
PULMONARY EDEMA & RESPIRATORY FAILURE,189,28747,9068
RED BLOOD CELL DISORDERS W/O MCC,812,18639,5659
RENAL FAILURE W CC,683,17947,7191
RENAL FAILURE W MCC,682,32936,11508
RENAL FAILURE W/O CC/MCC,684,15236,4580
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,30799,13468
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,49041,15511
SEIZURES W/O MCC,101,12634,5252
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,30165,13151
SIMPLE PNEUMONIA & PLEURISY W CC,194,18380,7122
SIMPLE PNEUMONIA & PLEURISY W MCC,193,24074,10245
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,15979,5047
SYNCOPE & COLLAPSE,312,14141,5058
TRANSIENT ISCHEMIA,069,14446,5134
