state,avgCoveredCharges,averagePayments
AK,55814,17493
AL,57403,11440
AR,47978,11773
AZ,62526,13846
CA,80649,16512
CO,61457,13741
CT,43983,15905
DC,37340,14921
DE,37422,14003
FL,63210,12497
GA,45721,13469
HI,36474,16552
IA,37609,11812
ID,42141,12806
IL,56343,13689
IN,45032,13363
KS,44889,12071
KY,47974,12706
LA,50302,11974
MA,35757,16425
MD,21487,20271
ME,40723,14059
MI,43500,14113
MN,46112,14022
MO,47639,12285
MS,46657,12430
MT,39891,15547
NC,44700,13774
ND,31813,12740
NE,46559,13434
NH,39583,13853
NJ,76312,14616
NM,50710,12974
NV,84885,14213
NY,44869,16649
OH,43693,12666
OK,52511,12516
OR,35938,13814
PA,60772,13427
RI,53036,16293
SC,56501,13031
SD,30611,13345
TN,50916,12515
TX,59621,13149
UT,40589,13418
VA,48406,13080
VT,36386,17740
WA,51505,14321
WI,37917,13862
WV,33460,12513
WY,47054,18222
