state,avgCoveredCharges,averagePayments
AK,188547,57239
AL,141260,33156
AR,102247,32986
AZ,143998,38957
CA,260329,51393
CO,151962,37063
CT,121890,47739
DC,144050,56096
DE,104691,46857
FL,169179,36192
GA,120491,37469
HI,145508,60185
IA,97206,35390
ID,88799,38362
IL,127575,38419
IN,103044,37046
KS,135716,38363
KY,100651,36849
LA,134134,35890
MA,99935,46690
MD,45419,42842
ME,88747,41375
MI,88504,39211
MN,129281,46118
MO,122006,36430
MS,119357,36719
MT,92930,36599
NC,92138,38487
ND,71871,34193
NE,142947,40525
NH,135338,51561
NJ,199694,42087
NM,117294,46416
NV,242785,42562
NY,132493,53759
OH,115613,37577
OK,140242,39857
OR,119312,47560
PA,155828,38158
RI,117874,43409
SC,143127,40096
SD,134486,44449
TN,108829,34408
TX,151066,37618
UT,88519,39426
VA,118155,37863
VT,88280,53790
WA,132757,42972
WI,110615,40778
WV,84867,36936
WY,131641,49466
