city,avgCoveredCharges,averagePayments
ATLANTIS,55449,6470
BRADENTON,32561,5897
BRANDON,51533,7290
BROOKSVILLE,45527,5217
CAPE CORAL,32306,5276
CLEARWATER,38429,5624
CRYSTAL RIVER,41973,5426
DAYTONA BEACH,28957,5835
DELRAY BEACH,77374,6046
DUNEDIN,35861,5611
FORT LAUDERDALE,50580,5922
FORT MYERS,30944,5975
FORT PIERCE,70230,6685
FORT WALTON BEA,59878,6010
GAINESVILLE,46857,7613
HOLLYWOOD,39102,7135
HUDSON,68880,5221
INVERNESS,19664,5211
JACKSONVILLE,29847,6426
JUPITER,42068,5667
LAKELAND,34122,5706
LEESBURG,27977,7986
MELBOURNE,32672,5696
MIAMI,63536,9202
NAPLES,37340,6327
OCALA,43102,5288
OCOEE,19912,6075
ORANGE PARK,54272,5664
ORLANDO,39628,7780
PEMBROKE PINES,34421,6502
PENSACOLA,37512,6423
POMPANO BEACH,33360,6128
PORT CHARLOTTE,67644,6001
PORT SAINT LUCI,70872,6748
PUNTA GORDA,36521,5902
SAINT AUGUSTINE,29275,6338
SAINT PETERSBUR,55222,5728
SARASOTA,35134,5515
SEBASTIAN,50056,5914
SOUTH MIAMI,46225,6532
STUART,39412,6082
TALLAHASSEE,21382,6225
TAMPA,41422,7585
TARPON SPRINGS,26378,5343
THE VILLAGES,25417,5247
VENICE,26047,5275
VERO BEACH,19499,5855
WEST PALM BEACH,39102,7208
WESTON,42471,5904
WINTER HAVEN,48199,5658
