city,avgCoveredCharges,averagePayments
ARCADIA,19512,6460
ATLANTIS,53349,8350
AVENTURA,55130,7734
BARTOW,30097,6344
BELLE GLADE,31857,9112
BOCA RATON,35223,7558
BOYNTON BEACH,43461,8540
BRADENTON,42346,7638
BRANDON,57270,8418
BROOKSVILLE,66443,7670
CAPE CORAL,31089,6955
CLEARWATER,32881,8043
CLERMONT,45135,7986
COCOA BEACH,29398,6908
CORAL GABLES,62513,9288
CORAL SPRINGS,30467,7308
CRESTVIEW,47061,6651
CRYSTAL RIVER,37538,7255
DADE CITY,34700,5902
DAVENPORT,52697,7701
DAYTONA BEACH,28807,8494
DEFUNIAK SPRING,13819,4858
DELAND,26825,7316
DELRAY BEACH,54843,7765
DUNEDIN,30088,6700
ENGLEWOOD,41957,5910
FERNANDINA BEAC,19276,5533
FORT LAUDERDALE,44016,9311
FORT MYERS,33074,7909
FORT PIERCE,67610,9421
FORT WALTON BEA,69173,7584
GAINESVILLE,49188,10338
GULF BREEZE,33625,6858
HIALEAH,49843,9695
HOLLYWOOD,49770,9628
HOMESTEAD,41911,8795
HUDSON,51503,6855
INVERNESS,36138,7374
JACKSONVILLE,40830,9223
JACKSONVILLE BE,31594,6102
JAY,21332,6387
JUPITER,40066,8468
KEY WEST,38075,8797
KISSIMMEE,57004,8258
LAKE CITY,27581,6506
LAKE WALES,38411,5690
LAKELAND,38213,7924
LARGO,53398,7901
LEESBURG,30776,7662
LEHIGH ACRES,38055,6622
LOXAHATCHEE,52536,9271
MARGATE,52893,7414
MARIANNA,14858,6321
MELBOURNE,36811,7723
MIAMI,49714,11128
MIAMI BEACH,58410,11136
MILTON,30492,6106
MIRAMAR,41887,7251
MIRAMAR BEACH,36573,7371
NAPLES,35444,8062
NEW PORT RICHEY,28060,6004
NEW SMYRNA BEAC,23554,7006
NICEVILLE,53025,5993
OCALA,42157,7938
OCOEE,30916,7592
OKEECHOBEE,42145,8008
ORANGE CITY,27809,7566
ORANGE PARK,63250,7366
ORLANDO,45993,9298
PALATKA,24986,6740
PALM BAY,30412,6520
PALM BEACH GARD,50444,7902
PALM COAST,25434,8421
PANAMA CITY,36214,7882
PEMBROKE PINES,50338,8065
PENSACOLA,40364,8914
PERRY,11028,6537
PLANT CITY,26643,6306
PLANTATION,53422,7961
POMPANO BEACH,34801,8675
PORT CHARLOTTE,57801,8062
PORT SAINT JOE,11980,4276
PORT SAINT LUCI,58496,8742
PUNTA GORDA,45201,7124
ROCKLEDGE,28520,7070
SAFETY HARBOR,31922,6978
SAINT AUGUSTINE,39014,9162
SAINT CLOUD,34860,6098
SAINT PETERSBUR,48896,8016
SANFORD,39957,7821
SARASOTA,39100,8458
SEBASTIAN,39471,6515
SEBRING,35582,7603
SOUTH MIAMI,46861,9654
STUART,46509,8410
SUN CITY CENTER,47330,6124
TALLAHASSEE,36400,8214
TAMARAC,52856,7097
TAMPA,46081,9781
TARPON SPRINGS,29786,6666
TAVARES,28976,7321
THE VILLAGES,28157,6600
TITUSVILLE,26726,8152
TRINITY,57931,6914
VENICE,41582,7676
VERO BEACH,19030,8538
VIERA,28523,6246
WELLINGTON,32117,7256
WEST PALM BEACH,44438,8144
WESTON,30985,7943
WILLISTON,6321,4388
WINTER HAVEN,36911,7268
ZEPHYRHILLS,44095,6969
