description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,38253,5688
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,57103,7968
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,36390,4696
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,35887,4751
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,43991,6505
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,24568,3025
CELLULITIS W/O MCC,603,21702,4395
CHEST PAIN,313,28510,2988
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,34926,5096
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,46206,5857
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,31300,3796
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,58880,5830
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,36319,3894
FRACTURES OF HIP & PELVIS W/O MCC,536,23230,3783
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,34773,3688
G.I. HEMORRHAGE W CC,378,34109,5365
G.I. HEMORRHAGE W MCC,377,60932,9039
G.I. HEMORRHAGE W/O CC/MCC,379,27550,3799
G.I. OBSTRUCTION W CC,389,38509,4807
G.I. OBSTRUCTION W/O CC/MCC,390,30645,3386
HEART FAILURE & SHOCK W CC,292,39805,5338
HEART FAILURE & SHOCK W MCC,291,49043,7340
HEART FAILURE & SHOCK W/O CC/MCC,293,28945,3606
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,60680,9756
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,32306,4091
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,38518,6299
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,61201,11422
MEDICAL BACK PROBLEMS W/O MCC,552,35970,4312
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,30076,3641
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,48896,5284
PERIPHERAL VASCULAR DISORDERS W CC,300,23808,4884
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,58982,13608
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,54203,10755
RED BLOOD CELL DISORDERS W MCC,811,39623,6382
RED BLOOD CELL DISORDERS W/O MCC,812,26169,4457
RENAL FAILURE W CC,683,40371,5363
RENAL FAILURE W MCC,682,33416,8059
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,69658,7915
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,83568,10826
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,73593,9945
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,45080,6718
SIMPLE PNEUMONIA & PLEURISY W CC,194,44863,5198
SIMPLE PNEUMONIA & PLEURISY W MCC,193,62119,8114
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,37713,3706
SYNCOPE & COLLAPSE,312,34192,4408
TRANSIENT ISCHEMIA,069,29768,3936
