description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,64984,15698
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,19651,5397
BRONCHITIS & ASTHMA W CC/MCC,202,24467,7749
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,24317,7061
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,32849,10366
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,16927,4801
CELLULITIS W MCC,602,29790,11831
CELLULITIS W/O MCC,603,20331,6813
CHEST PAIN,313,17476,4591
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,27702,8195
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,28646,9873
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,22646,6508
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,51156,16417
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,33029,8615
DIABETES W CC,638,17465,6907
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,26389,8466
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,33280,9753
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,26935,6063
G.I. HEMORRHAGE W CC,378,29688,8560
G.I. HEMORRHAGE W MCC,377,74720,16365
G.I. OBSTRUCTION W CC,389,30455,7903
HEART FAILURE & SHOCK W CC,292,26435,8670
HEART FAILURE & SHOCK W MCC,291,43391,12660
HEART FAILURE & SHOCK W/O CC/MCC,293,19142,5796
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,56420,15261
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,108583,25387
HYPERTENSION W/O MCC,305,17776,5204
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,186151,49054
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,28893,9444
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,59942,16185
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,29317,10086
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21598,6541
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,65120,25995
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,44783,16783
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,116692,39672
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,32080,9552
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,18285,5812
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,58327,15621
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,30682,8445
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,52952,13588
OTHER VASCULAR PROCEDURES W CC,253,62815,19986
OTHER VASCULAR PROCEDURES W MCC,252,95098,26764
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,103516,26371
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,68121,15910
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,82895,14685
PERIPHERAL VASCULAR DISORDERS W CC,300,23919,7801
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,71606,21822
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,35279,12288
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,15848,5187
PSYCHOSES,885,13599,7587
PULMONARY EDEMA & RESPIRATORY FAILURE,189,30108,10737
RED BLOOD CELL DISORDERS W MCC,811,37764,10628
RED BLOOD CELL DISORDERS W/O MCC,812,25551,6877
RENAL FAILURE W CC,683,24812,8541
RENAL FAILURE W MCC,682,40321,13615
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,60529,16864
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,52216,18625
SEIZURES W/O MCC,101,20471,6419
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,195023,48928
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,54944,16169
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,25701,9423
SIMPLE PNEUMONIA & PLEURISY W CC,194,31507,8804
SIMPLE PNEUMONIA & PLEURISY W MCC,193,48294,13042
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,72101,31100
SYNCOPE & COLLAPSE,312,23527,6286
TRANSIENT ISCHEMIA,069,28657,6300
