description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,76579,6379
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,103160,11200
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,65015,4364
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,43340,4544
ATHEROSCLEROSIS W/O MCC,303,32275,3750
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,59878,6010
BRONCHITIS & ASTHMA W CC/MCC,202,43422,4702
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,42796,4541
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,65336,6535
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,30687,3203
CELLULITIS W MCC,602,75140,7844
CELLULITIS W/O MCC,603,43889,4758
CERVICAL SPINAL FUSION W/O CC/MCC,473,87784,11692
CHEST PAIN,313,41919,3155
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,51949,5339
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,50469,6721
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,37664,4138
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,100065,11127
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,82109,6082
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,45447,5017
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,48429,4824
DIABETES W CC,638,41703,4434
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,55378,5500
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,55213,6291
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,44860,4460
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,62689,5546
FRACTURES OF HIP & PELVIS W/O MCC,536,28161,4132
G.I. HEMORRHAGE W CC,378,40741,5560
G.I. HEMORRHAGE W MCC,377,49072,9279
G.I. HEMORRHAGE W/O CC/MCC,379,32435,4128
G.I. OBSTRUCTION W CC,389,60065,5509
G.I. OBSTRUCTION W/O CC/MCC,390,39789,3461
HEART FAILURE & SHOCK W CC,292,46328,5533
HEART FAILURE & SHOCK W MCC,291,73518,8622
HEART FAILURE & SHOCK W/O CC/MCC,293,30800,3701
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,97458,10148
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,86613,8367
HYPERTENSION W/O MCC,305,35360,3410
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,64067,6594
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,100006,10359
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,44966,5056
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,72394,6668
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,42176,4203
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,161285,16809
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,100327,12050
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,162409,15594
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,268647,28831
MEDICAL BACK PROBLEMS W/O MCC,552,36695,4673
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,56306,7571
