description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,50984,8272
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,81329,15289
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,25259,5758
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,17463,4549
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,39102,7135
BRONCHITIS & ASTHMA W CC/MCC,202,34081,5963
BRONCHITIS & ASTHMA W/O CC/MCC,203,21014,4271
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,35461,6014
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,60083,10741
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,19695,4054
CELLULITIS W MCC,602,50187,9440
CELLULITIS W/O MCC,603,32918,5953
CERVICAL SPINAL FUSION W/O CC/MCC,473,75160,15696
CHEST PAIN,313,19761,3888
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,44542,7161
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,61124,9059
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,25679,5129
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,63042,14457
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,40411,7782
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,37696,6787
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,37335,7132
DIABETES W CC,638,33637,5822
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,66548,7371
DYSEQUILIBRIUM,149,21714,4484
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,48769,8810
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,29099,5090
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,66215,7246
FRACTURES OF HIP & PELVIS W/O MCC,536,35759,6559
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,26848,4950
G.I. HEMORRHAGE W CC,378,36442,7270
G.I. HEMORRHAGE W MCC,377,50723,12950
G.I. HEMORRHAGE W/O CC/MCC,379,21377,4985
G.I. OBSTRUCTION W CC,389,34650,6454
G.I. OBSTRUCTION W/O CC/MCC,390,29588,4441
HEART FAILURE & SHOCK W CC,292,37224,7158
HEART FAILURE & SHOCK W MCC,291,59221,10680
HEART FAILURE & SHOCK W/O CC/MCC,293,26130,4807
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,58760,12918
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,125958,25684
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,44635,10808
HYPERTENSION W/O MCC,305,23704,4335
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,175701,41034
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,44220,8260
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,66414,13438
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,31354,5855
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,40195,8014
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,26306,5458
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,58774,13644
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,62191,8582
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,113851,22278
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,42410,8555
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,60742,14891
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,137673,23380
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,234305,46553
MEDICAL BACK PROBLEMS W/O MCC,552,31374,5740
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,32255,8099
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,23610,4872
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,24762,6649
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,67253,13798
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,36833,7013
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,37571,7446
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,49173,11032
OTHER VASCULAR PROCEDURES W CC,253,92733,19184
OTHER VASCULAR PROCEDURES W MCC,252,110661,22851
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,59034,11415
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,97260,22952
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,60507,14186
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,60746,13954
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,67444,13123
PERIPHERAL VASCULAR DISORDERS W CC,300,31818,6801
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,22454,4872
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,69246,18741
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,51368,14437
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,96822,16366
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,19456,4429
PULMONARY EDEMA & RESPIRATORY FAILURE,189,84457,10573
PULMONARY EMBOLISM W/O MCC,176,50528,7352
RED BLOOD CELL DISORDERS W MCC,811,46926,9337
RED BLOOD CELL DISORDERS W/O MCC,812,29780,5902
RENAL FAILURE W CC,683,39504,7489
RENAL FAILURE W MCC,682,59948,12725
RENAL FAILURE W/O CC/MCC,684,20961,4559
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,77132,13751
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,98019,16282
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,238897,43566
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,115376,20902
SEIZURES W/O MCC,101,29716,5730
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,277298,50294
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,87437,14767
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,52086,8335
SIGNS & SYMPTOMS W/O MCC,948,24035,4738
SIMPLE PNEUMONIA & PLEURISY W CC,194,42374,7058
SIMPLE PNEUMONIA & PLEURISY W MCC,193,86504,13754
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,29617,4984
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,66352,25384
SYNCOPE & COLLAPSE,312,27411,5280
