description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,49405,6764
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,121018,10880
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,30412,3598
ATHEROSCLEROSIS W/O MCC,303,35444,3311
BRONCHITIS & ASTHMA W CC/MCC,202,42243,6626
BRONCHITIS & ASTHMA W/O CC/MCC,203,29808,3454
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,43165,5083
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,115925,10497
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,30063,3297
CELLULITIS W MCC,602,61558,8851
CELLULITIS W/O MCC,603,39566,4874
CHEST PAIN,313,31668,3624
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,45101,5612
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,59783,6822
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,34185,4126
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,104617,11495
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,61768,6403
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,55447,5455
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,44679,5046
DIABETES W CC,638,37366,4705
DYSEQUILIBRIUM,149,36950,3849
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,60794,6629
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,44230,4209
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,48575,5918
FRACTURES OF HIP & PELVIS W/O MCC,536,29388,4410
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,34007,4063
G.I. HEMORRHAGE W CC,378,57240,5875
G.I. HEMORRHAGE W MCC,377,80118,9846
G.I. HEMORRHAGE W/O CC/MCC,379,39413,4058
