description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,43604,14505
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,70504,25205
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,31448,10156
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,19612,9221
ATHEROSCLEROSIS W/O MCC,303,34608,11551
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,44897,12474
BRONCHITIS & ASTHMA W CC/MCC,202,25363,10767
BRONCHITIS & ASTHMA W/O CC/MCC,203,20618,7868
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,25698,10561
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,37679,15224
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,18163,7093
CELLULITIS W MCC,602,33512,17442
CELLULITIS W/O MCC,603,23761,11504
CERVICAL SPINAL FUSION W/O CC/MCC,473,67324,22401
CHEST PAIN,313,18703,6925
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,29903,11893
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,37538,14760
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,22562,9152
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,94678,28789
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,43910,14161
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,23837,10077
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,29126,12789
DIABETES W CC,638,23498,10574
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,29936,12908
DYSEQUILIBRIUM,149,21267,8036
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,36017,16159
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20174,9121
FRACTURES OF HIP & PELVIS W/O MCC,536,26620,11432
