description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,34553,6231
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,46556,13608
ATHEROSCLEROSIS W/O MCC,303,23260,2957
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19121,4186
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15516,2911
CELLULITIS W/O MCC,603,20758,4270
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25482,6868
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,35141,6449
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,20799,3662
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,46257,7308
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20511,3649
G.I. HEMORRHAGE W CC,378,26160,5195
G.I. OBSTRUCTION W CC,389,20831,6550
G.I. OBSTRUCTION W/O CC/MCC,390,14640,3930
HEART FAILURE & SHOCK W CC,292,19748,5020
HEART FAILURE & SHOCK W MCC,291,26721,7192
HEART FAILURE & SHOCK W/O CC/MCC,293,18363,3476
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,47919,8859
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,19509,4456
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,23232,5621
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21036,3955
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,56483,11466
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,18148,3508
RED BLOOD CELL DISORDERS W/O MCC,812,21601,4056
RENAL FAILURE W CC,683,26570,6717
RENAL FAILURE W MCC,682,49745,8944
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,48404,9207
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,57495,10248
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,25747,6139
SIMPLE PNEUMONIA & PLEURISY W CC,194,22253,5332
SIMPLE PNEUMONIA & PLEURISY W MCC,193,42849,7455
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23785,3605
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,115262,23797
SYNCOPE & COLLAPSE,312,28558,3925
