description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,42263,6379
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,50852,10397
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,49403,6924
BRONCHITIS & ASTHMA W CC/MCC,202,34097,4983
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,27602,4802
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,36712,6950
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,18779,3279
CELLULITIS W MCC,602,64416,8139
CELLULITIS W/O MCC,603,30787,4607
CERVICAL SPINAL FUSION W/O CC/MCC,473,83656,12718
CHEST PAIN,313,24371,3029
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,33286,5286
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,43022,6567
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,22052,3969
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,60067,11327
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,40380,6051
DIABETES W CC,638,29409,4575
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,46124,5755
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,29638,4048
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,41093,5610
FRACTURES OF HIP & PELVIS W/O MCC,536,26323,3961
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,28789,3929
G.I. HEMORRHAGE W CC,378,36616,6009
G.I. HEMORRHAGE W MCC,377,56604,9662
G.I. OBSTRUCTION W CC,389,29731,5279
G.I. OBSTRUCTION W/O CC/MCC,390,22478,3613
HEART FAILURE & SHOCK W CC,292,33401,5624
HEART FAILURE & SHOCK W MCC,291,49449,8416
HEART FAILURE & SHOCK W/O CC/MCC,293,19831,3732
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,65299,10148
