description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,79423,7801
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,102068,10627
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,54272,5664
BRONCHITIS & ASTHMA W CC/MCC,202,51723,4825
BRONCHITIS & ASTHMA W/O CC/MCC,203,34311,3474
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,48477,5035
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,49548,6911
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,33463,3326
CELLULITIS W MCC,602,92441,8279
CELLULITIS W/O MCC,603,42231,5158
CERVICAL SPINAL FUSION W/O CC/MCC,473,86829,11846
CHEST PAIN,313,35806,3305
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,49200,5727
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,48275,6732
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,37128,4764
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,119404,11725
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,67904,6640
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,39454,5012
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,41404,5203
DIABETES W CC,638,40000,5030
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,72493,5776
DYSEQUILIBRIUM,149,40589,3648
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,62420,8111
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,45234,4472
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,68158,5830
FRACTURES OF HIP & PELVIS W/O MCC,536,29860,3987
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,34330,4775
G.I. HEMORRHAGE W CC,378,51413,5983
G.I. HEMORRHAGE W MCC,377,68324,9713
G.I. HEMORRHAGE W/O CC/MCC,379,33565,4234
G.I. OBSTRUCTION W CC,389,58643,5380
G.I. OBSTRUCTION W/O CC/MCC,390,40807,3801
HEART FAILURE & SHOCK W CC,292,46337,5890
HEART FAILURE & SHOCK W MCC,291,69866,8765
HEART FAILURE & SHOCK W/O CC/MCC,293,31655,3921
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,98658,11118
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,79727,10200
HYPERTENSION W/O MCC,305,34318,3642
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,191731,29318
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,60073,7790
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,82648,10522
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,54071,5326
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,55448,6713
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,41610,4414
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,111556,11681
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,90927,7068
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,137006,18240
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,74112,7749
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,156388,19839
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,95349,12263
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,141819,15134
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,314113,34416
MEDICAL BACK PROBLEMS W/O MCC,552,45392,4679
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,61554,7261
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,35365,3997
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,40378,5171
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,74442,10098
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,48901,5663
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,46398,5667
OTHER VASCULAR PROCEDURES W CC,253,115817,13730
OTHER VASCULAR PROCEDURES W MCC,252,90992,17274
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,160878,18088
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,117445,12124
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,106874,10117
PERIPHERAL VASCULAR DISORDERS W CC,300,46355,5592
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,28860,3714
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,69190,8201
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,41474,3556
PSYCHOSES,885,28497,5418
PULMONARY EDEMA & RESPIRATORY FAILURE,189,56826,7763
PULMONARY EMBOLISM W/O MCC,176,55369,5966
RED BLOOD CELL DISORDERS W MCC,811,56405,7161
RED BLOOD CELL DISORDERS W/O MCC,812,39483,5005
RENAL FAILURE W CC,683,55308,6006
RENAL FAILURE W MCC,682,82852,9786
RENAL FAILURE W/O CC/MCC,684,32490,4060
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,81724,7943
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,86513,11596
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,176040,26984
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,108738,14138
SEIZURES W/O MCC,101,40265,4405
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,220775,29994
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,94499,10757
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,66550,6525
SIGNS & SYMPTOMS W/O MCC,948,34484,3998
SIMPLE PNEUMONIA & PLEURISY W CC,194,53469,6382
SIMPLE PNEUMONIA & PLEURISY W MCC,193,64013,8629
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,40487,4349
SYNCOPE & COLLAPSE,312,43881,4229
TRANSIENT ISCHEMIA,069,48760,4225
