description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,32398,7553
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,14116,4180
ATHEROSCLEROSIS W/O MCC,303,11981,3218
BRONCHITIS & ASTHMA W CC/MCC,202,17141,4644
BRONCHITIS & ASTHMA W/O CC/MCC,203,14141,3349
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,21632,4505
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,30556,6673
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14038,3144
CELLULITIS W/O MCC,603,17673,4591
CHEST PAIN,313,14314,3036
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25344,5392
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,31403,6585
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,21280,3979
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,25048,5776
DIABETES W CC,638,21013,4426
DYSEQUILIBRIUM,149,13569,3527
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,18250,3955
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,51589,5754
G.I. HEMORRHAGE W CC,378,32787,5729
G.I. HEMORRHAGE W/O CC/MCC,379,27060,3870
G.I. OBSTRUCTION W CC,389,20973,5159
HEART FAILURE & SHOCK W CC,292,19239,5423
HEART FAILURE & SHOCK W MCC,291,39293,8352
HEART FAILURE & SHOCK W/O CC/MCC,293,13975,3747
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,73522,10400
HYPERTENSION W/O MCC,305,13624,3387
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,117492,26749
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,24488,6117
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,18805,4524
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13424,4250
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,86251,11746
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,74303,13916
MEDICAL BACK PROBLEMS W/O MCC,552,17614,4361
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17952,3914
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,21388,5224
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,57432,10337
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,36577,8564
OTHER VASCULAR PROCEDURES W CC,253,84219,13295
OTHER VASCULAR PROCEDURES W MCC,252,90988,16715
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,67052,8907
PERIPHERAL VASCULAR DISORDERS W CC,300,22185,5156
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,85499,13647
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,75088,11129
RED BLOOD CELL DISORDERS W/O MCC,812,22584,4394
RENAL FAILURE W CC,683,27658,5576
RENAL FAILURE W MCC,682,38310,8708
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,47906,9094
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,66815,11171
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,64071,16710
SEIZURES W/O MCC,101,16725,4198
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,56639,10738
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,27831,6506
SIMPLE PNEUMONIA & PLEURISY W CC,194,23871,5537
SIMPLE PNEUMONIA & PLEURISY W MCC,193,36532,7867
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,15864,3902
SYNCOPE & COLLAPSE,312,16444,3956
TRANSIENT ISCHEMIA,069,17869,4061
